0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Shot Chart Detail,0042100314,147,1629029,Luka Doncic,1610612742,Dallas Mavericks,1,0,31,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,30,-16,300,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,148,201939,Stephen Curry,1610612744,Golden State Warriors,1,0,10,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,13,12,130,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,152,202691,Klay Thompson,1610612744,Golden State Warriors,1,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-45,252,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,164,202722,Davis Bertans,1610612742,Dallas Mavericks,2,11,54,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-65,253,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,166,1629673,Jordan Poole,1610612744,Golden State Warriors,2,11,40,Made Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,-55,250,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,172,1630228,Jonathan Kuminga,1610612744,Golden State Warriors,2,11,2,Made Shot,Fadeaway Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,8,-58,63,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,175,203915,Spencer Dinwiddie,1610612742,Dallas Mavericks,2,10,50,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,11,262,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,177,1630541,Moses Moody,1610612744,Golden State Warriors,2,10,38,Made Shot,Floating Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,11,-91,63,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,179,202722,Davis Bertans,1610612742,Dallas Mavericks,2,10,20,Made Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,233,-3,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,181,1629673,Jordan Poole,1610612744,Golden State Warriors,2,10,4,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,30,70,294,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,183,1627827,Dorian Finney-Smith,1610612742,Dallas Mavericks,2,9,49,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-2,-5,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,185,1630228,Jonathan Kuminga,1610612744,Golden State Warriors,2,9,32,Missed Shot,Pullup Jump shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-224,11,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,187,203915,Spencer Dinwiddie,1610612742,Dallas Mavericks,2,9,20,Missed Shot,Turnaround Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,16,16,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,190,1629673,Jordan Poole,1610612744,Golden State Warriors,2,9,12,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,165,200,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,192,202722,Davis Bertans,1610612742,Dallas Mavericks,2,8,49,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-11,27,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,194,203493,Reggie Bullock,1610612742,Dallas Mavericks,2,8,45,Made Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-224,-9,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,197,1630228,Jonathan Kuminga,1610612744,Golden State Warriors,2,8,28,Missed Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,7,117,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,200,202722,Davis Bertans,1610612742,Dallas Mavericks,2,8,14,Made Shot,Cutting Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-1,2,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,204,203493,Reggie Bullock,1610612742,Dallas Mavericks,2,7,52,Missed Shot,Running Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,22,222,54,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,206,1630228,Jonathan Kuminga,1610612744,Golden State Warriors,2,7,32,Made Shot,Floating Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,4,46,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,208,1628973,Jalen Brunson,1610612742,Dallas Mavericks,2,7,22,Made Shot,Driving Floating Bank Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,37,10,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,209,1629673,Jordan Poole,1610612744,Golden State Warriors,2,7,9,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,24,74,237,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,211,1628973,Jalen Brunson,1610612742,Dallas Mavericks,2,6,51,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,7,10,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,213,1630228,Jonathan Kuminga,1610612744,Golden State Warriors,2,6,25,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,32,148,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,244,1627814,Damion Lee,1610612744,Golden State Warriors,2,5,50,Missed Shot,Jump Shot,3PT Field Goal,Right Corner 3,Right Side(R),24+ ft.,23,235,25,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,246,1627827,Dorian Finney-Smith,1610612742,Dallas Mavericks,2,5,35,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-6,2,1,1,20220524,DAL,GSW
Shot Chart Detail,0042100314,252,1629029,Luka Doncic,1610612742,Dallas Mavericks,2,5,15,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,26,-165,210,1,0,20220524,DAL,GSW
Shot Chart Detail,0042100314,254,201939,Stephen Curry,1610612744,Golden State Warriors,2,4,57,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-42,26,1,0,20220524,DAL,GSW
