My Circle,My Rank,Circle Ring,User,Circle Person,User rank,User Ring,Is Me,Common
@brrosenau,30.,3,@brrosenau,@SParsonsDataViz,12.,2,no,no
@brrosenau,30.,3,@brrosenau,@cmcau,13.,2,no,no
@brrosenau,30.,3,@brrosenau,@sarahlovesdata,14.,2,no,yes
@brrosenau,30.,3,@brrosenau,@El_Dabrah,15.,2,no,no
@brrosenau,30.,3,@brrosenau,@ZenDollData,16.,2,no,yes
@brrosenau,30.,3,@brrosenau,@SpotOn_DRTV,17.,2,no,yes
@brrosenau,30.,3,@brrosenau,@adastra1930,18.,2,no,no
@brrosenau,30.,3,@brrosenau,@NicholasPillsb2,19.,2,no,no
@brrosenau,30.,3,@brrosenau,@tableaupublic,20.,2,no,yes
@brrosenau,30.,3,@brrosenau,@dbfmurray,21.,2,no,yes
@brrosenau,30.,3,@brrosenau,@HipsterVizNinja,22.,2,no,no
@brrosenau,30.,3,@brrosenau,@tableau,23.,2,no,yes
@brrosenau,30.,3,@brrosenau,@KevinWee90,24.,2,no,yes
@brrosenau,30.,3,@brrosenau,@jaxx084,25.,3,no,no
@brrosenau,30.,3,@brrosenau,@flerlagekr,26.,3,no,no
@brrosenau,30.,3,@brrosenau,@NicoleKlassen12,27.,3,no,yes
@brrosenau,30.,3,@brrosenau,@4loveofAlteryx,28.,3,no,no
@brrosenau,30.,3,@brrosenau,@maf2k,29.,3,no,yes
@brrosenau,30.,3,@brrosenau,@BrittTweets,30.,3,no,no
@brrosenau,30.,3,@brrosenau,@professorkao,31.,3,no,yes
@brrosenau,30.,3,@brrosenau,@menscuriosa,32.,3,no,no
@brrosenau,30.,3,@brrosenau,@graph_hopper,33.,3,no,no
@brrosenau,30.,3,@brrosenau,@emilykund,34.,3,no,no
@brrosenau,30.,3,@brrosenau,@FlerlageKev,35.,3,no,yes
@brrosenau,30.,3,@brrosenau,@VizWizBI,36.,3,no,no
@brrosenau,30.,3,@brrosenau,@TableauTim,37.,3,no,no
@brrosenau,30.,3,@brrosenau,@datadzif,38.,3,no,yes
@brrosenau,30.,3,@brrosenau,@vizsmart,39.,3,no,no
@brrosenau,30.,3,@brrosenau,@jscottbriggs,40.,3,no,no
@brrosenau,30.,3,@brrosenau,@WindsCogley,41.,3,no,no
@brrosenau,30.,3,@brrosenau,@_CJMayes,42.,3,no,yes
@brrosenau,30.,3,@brrosenau,@dog_rates,43.,3,no,no
@brrosenau,30.,3,@brrosenau,@AGoldmund,44.,3,no,no
@brrosenau,30.,3,@brrosenau,@VivBlueprint,45.,3,no,no
@Saveriorocc,31.,3,@Saveriorocc,@tableaupublic,1.,1,no,yes
@Saveriorocc,31.,3,@Saveriorocc,@professorkao,2.,1,no,yes
@Saveriorocc,31.,3,@Saveriorocc,@tableau,3.,1,no,yes
@Saveriorocc,31.,3,@Saveriorocc,@VizWithIrene,4.,1,no,no
@Saveriorocc,31.,3,@Saveriorocc,@nicolemark_,5.,1,no,yes
@Saveriorocc,31.,3,@Saveriorocc,@ShazeeraZawawi,6.,1,no,yes
@Saveriorocc,31.,3,@Saveriorocc,@FlerlageKev,7.,1,no,yes
@Saveriorocc,31.,3,@Saveriorocc,@DiversityinData,8.,1,no,no
@Saveriorocc,31.,3,@Saveriorocc,@ItsElisaDavis,9.,2,no,yes
@Saveriorocc,31.,3,@Saveriorocc,@pradeep_zen,10.,2,no,no
@Saveriorocc,31.,3,@Saveriorocc,@_CJMayes,11.,2,no,yes
@Saveriorocc,31.,3,@Saveriorocc,@AdamMico1,12.,2,no,yes
@Saveriorocc,31.,3,@Saveriorocc,@p_padham,13.,2,no,no
@Saveriorocc,31.,3,@Saveriorocc,@menscuriosa,14.,2,no,no
@Saveriorocc,31.,3,@Saveriorocc,@El_Dabrah,15.,2,no,no
@Saveriorocc,31.,3,@Saveriorocc,@sarahlovesdata,16.,2,no,yes
@Saveriorocc,31.,3,@Saveriorocc,@VizByMoon,17.,2,yes,no
