match_id,match_date,kick_off,competition,season,home_team,away_team,home_score,away_score,match_status,match_status_360,last_updated,last_updated_360,match_week,competition_stage,stadium,referee,home_managers,away_managers,data_version,shot_fidelity_version,xy_fidelity_version
3901833,2023-08-08,14:00:00.000,International - Women's World Cup,2023,France Women's,Morocco Women's,4,0,available,available,2023-08-28T17:32:49.075109,2023-08-28T17:41:16.682649,4,Round of 16,Coopers Stadium,Tori Penso,Hervé Renard,Reynald Pedros,1.1.0,2,2
3893826,2023-08-01,10:00:00.000,International - Women's World Cup,2023,Portugal Women's,United States Women's,0,0,available,available,2023-08-23T13:24:12.821540,2023-08-23T13:30:36.393730,3,Group Stage,Eden Park,Rebecca Welch,Francisco Miguel Conceição Roque Neto,Vlatko Andonovski,1.1.0,2,2
3901736,2023-08-07,13:30:00.000,International - Women's World Cup,2023,Australia Women's,Denmark Women's,2,0,available,available,2023-09-01T11:56:14.824981,2023-09-01T11:58:41.158565,4,Round of 16,Stadium Australia,Rebecca Welch,Tony Gustavsson,Lars Søndergaard,1.1.0,2,2
3901735,2023-08-07,10:30:00.000,International - Women's World Cup,2023,England Women's,Nigeria Women's,0,0,available,available,2023-08-31T11:53:26.150883,2023-08-31T11:53:46.771314,4,Round of 16,Brisbane Stadium,Melissa Paola Borjas Pastrana,Sarina Glotzbach-Wiegman,Randy Marlon Waldrum,1.1.0,2,2
3901734,2023-08-05,11:00:00.000,International - Women's World Cup,2023,Japan Women's,Norway Women's,3,1,available,available,2023-08-31T19:51:51.315508,2023-08-31T19:53:48.540368,4,Round of 16,Wellington Regional Stadium,Edina Alves Batista,Futoshi Ikeda,Hege Riise,1.1.0,2,2
3901733,2023-08-05,08:00:00.000,International - Women's World Cup,2023,Switzerland Women's,Spain Women's,1,5,available,available,2023-08-27T22:13:22.740950,2023-08-27T22:14:35.209354,4,Round of 16,Eden Park,Cheryl Foster,Inka Grings,Jorge Vilda,1.1.0,2,2
3893823,2023-07-31,10:00:00.000,International - Women's World Cup,2023,Costa Rica Women's,Zambia Women's,1,3,available,available,2023-08-21T13:22:23.108775,2023-08-21T13:33:01.795,3,Group Stage,FMG Stadium Waikato,Bouchra Karboubi,Amelia Valverde,Bruce Mwape,1.1.0,2,2
3893811,2023-07-28,11:30:00.000,International - Women's World Cup,2023,England Women's,Denmark Women's,1,0,available,available,2023-08-13T20:58:07.431877,2023-08-13T21:04:12.717030,2,Group Stage,Allianz Stadium (Sydney),Tess Olofsson,Sarina Glotzbach-Wiegman,Lars Søndergaard,1.1.0,2,2
3893812,2023-07-28,03:00:00.000,International - Women's World Cup,2023,Argentina Women's,South Africa Women's,2,2,available,available,2023-08-14T14:56:47.384447,2023-08-14T15:02:01.860096,2,Group Stage,Forsyth Barr,Anna-Marie Keighley,Germán Darío Portanova,Desiree Ellis,1.1.0,2,2
3893813,2023-07-28,14:00:00.000,International - Women's World Cup,2023,China PR Women's,Haiti Women's,1,0,available,available,2023-08-03T04:23:35.957774,2023-08-03T04:25:06.499967,2,Group Stage,Coopers Stadium,Marta Huerta de Aza,Qingxia Shui,Nicolas Michel Gregory Delépine,1.1.0,2,2
3893810,2023-07-27,10:30:00.000,International - Women's World Cup,2023,Portugal Women's,Vietnam Women's,2,0,available,available,2023-08-18T14:28:14.691049,2023-08-18T14:30:26.614172,2,Group Stage,FMG Stadium Waikato,Salima Mukansanga,Francisco Miguel Conceição Roque Neto,Đức Chung Mai,1.1.0,2,2
3893809,2023-07-27,13:00:00.000,International - Women's World Cup,2023,Australia Women's,Nigeria Women's,2,3,available,available,2023-08-18T14:04:52.791946,2023-08-18T14:06:33.469348,2,Group Stage,Brisbane Stadium,Esther Staubli,Tony Gustavsson,Randy Marlon Waldrum,1.1.0,2,2
3893807,2023-07-26,15:00:00.000,International - Women's World Cup,2023,Canada Women's,Republic of Ireland Women's,2,1,available,available,2023-07-27T10:58:05.416876,2023-07-27T20:58:19.075800,2,Group Stage,HBF Park,Laura Fortunato,Beverly Priestman,Vera Pauw,1.1.0,2,2
3893804,2023-07-25,11:00:00.000,International - Women's World Cup,2023,Switzerland Women's,Norway Women's,0,0,available,available,2023-08-26T22:30:47.843134,2023-08-26T22:32:16.292630,2,Group Stage,FMG Stadium Waikato,Stéphanie Frappart,Inka Grings,Hege Riise,1.1.0,2,2
3893788,2023-07-20,13:00:00.000,International - Women's World Cup,2023,Australia Women's,Republic of Ireland Women's,1,0,available,available,2023-08-04T15:33:59.340634,2023-08-04T15:35:05.088854,1,Group Stage,Accor Stadium,Edina Alves Batista,Tony Gustavsson,Vera Pauw,1.1.0,2,2
3893798,2023-07-23,13:00:00.000,International - Women's World Cup,2023,France Women's,Jamaica Women's,0,0,available,available,2023-08-21T12:43:27.106146,2023-08-21T12:51:04.862518,1,Group Stage,Allianz Stadium (Sydney),María Belén Carvajal Peña,Hervé Renard,Lorne Julian Donaldson,1.1.0,2,2
3893789,2023-07-21,08:00:00.000,International - Women's World Cup,2023,Philippines Women's,Switzerland Women's,0,2,available,available,2023-08-05T10:25:42.521031,2023-08-05T10:26:26.483897,1,Group Stage,Forsyth Barr,Vincentia Enyonam Amedome,Alen Stajčić,Inka Grings,1.1.0,2,2
3893794,2023-07-22,12:30:00.000,International - Women's World Cup,2023,England Women's,Haiti Women's,1,0,available,available,2023-08-10T13:30:28.440227,2023-08-10T13:33:50.644811,1,Group Stage,Brisbane Stadium,Emikar Caldera Barrera,Sarina Glotzbach-Wiegman,Nicolas Michel Gregory Delépine,1.1.0,2,2
3893792,2023-07-22,04:00:00.000,International - Women's World Cup,2023,United States Women's,Vietnam Women's,3,0,available,available,2023-08-05T05:44:37.442754,2023-08-05T05:44:59.434875,1,Group Stage,Eden Park,Bouchra Karboubi,Vlatko Andonovski,Đức Chung Mai,1.1.0,2,2
3893791,2023-07-21,10:30:00.000,International - Women's World Cup,2023,Spain Women's,Costa Rica Women's,3,0,available,available,2023-08-24T15:30:43.549537,2023-08-24T15:33:45.726341,1,Group Stage,Wellington Regional Stadium,Casey Reibelt,Jorge Vilda,Amelia Valverde,1.1.0,2,2
3893787,2023-07-20,10:00:00.000,International - Women's World Cup,2023,New Zealand Women's,Norway Women's,1,0,available,available,2023-08-01T12:35:43.246812,2023-08-01T12:37:30.380662,1,Group Stage,Eden Park,Yoshimi Yamashita,Jitka Klimková,Hege Riise,1.1.0,2,2
3893834,2023-08-03,13:00:00.000,International - Women's World Cup,2023,Morocco Women's,Colombia Women's,1,0,available,available,2023-08-11T23:46:50.548193,2023-08-11T23:49:38.789986,3,Group Stage,HBF Park,Maria Sole Ferrieri Caputi,Reynald Pedros,Nelson Abadía Aragón,1.1.0,2,2
3893833,2023-08-03,13:00:00.000,International - Women's World Cup,2023,Korea Republic Women's,Germany Women's,1,1,available,available,2023-08-04T21:33:56.230246,2023-08-04T21:36:34.605701,3,Group Stage,Brisbane Stadium,Anna-Marie Keighley,Colin Bell,Martina Voss-Tecklenburg,1.1.0,2,2
