50_50,ball_receipt_outcome,ball_recovery_offensive,ball_recovery_recovery_failure,block_deflection,carry_end_location,clearance_aerial_won,clearance_body_part,clearance_head,clearance_left_foot,clearance_other,clearance_right_foot,counterpress,dribble_nutmeg,dribble_outcome,dribble_overrun,duel_outcome,duel_type,duration,foul_committed_advantage,foul_committed_card,foul_committed_penalty,foul_committed_type,foul_won_advantage,foul_won_defensive,goalkeeper_body_part,goalkeeper_end_location,goalkeeper_outcome,goalkeeper_position,goalkeeper_technique,goalkeeper_type,id,index,interception_outcome,location,match_id,minute,miscontrol_aerial_won,off_camera,out,pass_aerial_won,pass_angle,pass_assisted_shot_id,pass_body_part,pass_cross,pass_cut_back,pass_deflected,pass_end_location,pass_goal_assist,pass_height,pass_inswinging,pass_length,pass_no_touch,pass_outcome,pass_outswinging,pass_recipient,pass_shot_assist,pass_straight,pass_switch,pass_technique,pass_through_ball,pass_type,period,play_pattern,player,player_id,position,possession,possession_team,possession_team_id,related_events,second,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_freeze_frame,shot_key_pass_id,shot_outcome,shot_statsbomb_xg,shot_technique,shot_type,substitution_outcome,substitution_replacement,tactics,team,team_id,timestamp,type,under_pressure
,,,,,,,,,,,,,,,,,,0.71816,,,,,,,,,,,,,f834f26e-7e0c-4504-8b47-6a86e885652b,3186,,"[7.7, 3.7]",3906390,90,,,,,-0.06885649,,Right Foot,,,,"[16.4, 3.1]",,Ground Pass,,8.720665,,,,Lauren James,,,,,,,2,Regular Play,Bethany England,15550.0,Left Center Forward,173,England Women's,865,['e08b8453-9c8f-4dac-a43e-4505fc5967cf'],31,,,,,,,,,,,,,,,England Women's,865,00:45:31.139,Pass,
,,,,,,,,,,,,,,,,,,0.822292,,,,,,,,,,,,,a51ae59b-17cb-4201-92ba-a0b6fc1b78b9,3192,,"[6.8, 2.6]",3906390,90,,,,,1.6388727,,Right Foot,,,,"[6.5, 7.0]",,Ground Pass,,4.4102154,,,,Alex Greenwood,,,,,,,2,Regular Play,Lauren James,31531.0,Center Attacking Midfield,173,England Women's,865,['c4387a74-7128-48cb-8d87-9f423668ab3d'],35,,,,,,,,,,,,,,,England Women's,865,00:45:35.913,Pass,
,,,,,,,,,,,,,,,,,,0.549567,,,,,,,,,,,,,3444ac49-f982-4da3-be83-61bb9d836b27,3196,,"[6.5, 8.3]",3906390,90,,,,,-0.011764163,,Left Foot,,,,"[15.0, 8.2]",,Low Pass,,8.500588,,Incomplete,,Chloe Kelly,,,,,,,2,Regular Play,Alex Greenwood,10252.0,Left Center Back,173,England Women's,865,"['8124e74c-bc09-4f5e-b4f4-2a4a8c3b3575', '93fc9e9a-59cd-4f72-8157-4db186e4a1e8', 'b8ebe755-3526-4413-b6b2-4736c8919752']",36,,,,,,,,,,,,,,,England Women's,865,00:45:36.775,Pass,True
,,,,,,,,,,,,,,,,,,0.928267,,,,,,,,,,,,,550da4f6-0615-493d-8748-87e38bd786a0,3200,,"[107.8, 69.7]",3906390,90,,,,,-2.107404,,Right Foot,,,,"[100.9, 58.1]",,Ground Pass,,13.497037,,,,Jennifer Hermoso Fuentes,,,,,,,2,Regular Play,Ona Batlle Pascual,46639.0,Right Back,174,Spain Women's,863,['49fff796-4270-46e3-8612-9739ad77221c'],39,,,,,,,,,,,,,,,Spain Women's,863,00:45:39.632,Pass,
,,,,,,,,,,,,,,,,,,1.783804,,,,,,,,,,,,,dc2a97ab-4c7d-4883-946b-959c1a154286,3203,,"[101.3, 65.0]",3906390,90,,,,,-2.4387136,,Left Foot,,,,"[86.9, 52.8]",,Ground Pass,,18.873262,,,,Teresa Abelleira Dueñas,,,,,,,2,Regular Play,Jennifer Hermoso Fuentes,10151.0,Center Forward,174,Spain Women's,863,['12f084d9-b854-443c-ab82-73b9505560da'],42,,,,,,,,,,,,,,,Spain Women's,863,00:45:42.244,Pass,
,,,,,,,,,,,,,,,,,,1.511197,,,,,,,,,,,,,25e16ad6-9993-4990-9d8e-558291646b22,3206,,"[87.3, 49.4]",3906390,90,,,,,-1.595034,,Right Foot,,,,"[86.9, 32.9]",,Ground Pass,,16.504848,,,,Olga  Carmona García,,,,,,,2,Regular Play,Teresa Abelleira Dueñas,49835.0,Center Defensive Midfield,174,Spain Women's,863,['a5d671fe-43aa-4916-b0d2-bb159efed6ba'],45,,,,,,,,,,,,,,,Spain Women's,863,00:45:45.077,Pass,
,,,,,,,,,,,,,,,,,,0.963563,,,,,,,,,,,,,f9a43286-c535-436d-b056-ba088a09ef23,3210,,"[79.6, 27.5]",3906390,90,,,,,2.69325,,Left Foot,,,,"[71.7, 31.3]",,Ground Pass,,8.766413,,,,Teresa Abelleira Dueñas,,,,,,,2,Regular Play,Olga  Carmona García,49836.0,Left Back,174,Spain Women's,863,['184503b2-3713-4125-918a-30c3e2a719b3'],52,,,,,,,,,,,,,,,Spain Women's,863,00:45:52.591,Pass,
,,,,,,,,,,,,,,,,,,1.086412,,,,,,,,,,,,,94363f85-f7e9-4448-9f96-20e113c97fb9,3213,,"[72.5, 29.1]",3906390,90,,,,,-0.08708081,,Right Foot,,,,"[85.1, 28.0]",,Ground Pass,,12.647924,,,,Alexia Putellas Segura,,,,,,,2,Regular Play,Teresa Abelleira Dueñas,49835.0,Center Defensive Midfield,174,Spain Women's,863,['19dd58be-188b-475c-9257-925101b06caa'],56,,,,,,,,,,,,,,,Spain Women's,863,00:45:56.137,Pass,
,,,,,,,,,,,,,,,,,,1.396955,,,,,,,,,,,,,7b6dde03-dd19-4d78-8bfb-ef0a2d461392,3216,,"[85.3, 29.4]",3906390,90,,,,,-1.6765456,,Left Foot,,,,"[83.4, 11.5]",,Ground Pass,,18.000555,,,,Olga  Carmona García,,,,,,,2,Regular Play,Alexia Putellas Segura,10143.0,Left Center Midfield,174,Spain Women's,863,"['8ce1c128-5e6a-4204-813c-ce236cbf6499', '9a4bd37e-bcf7-4927-b1a5-e95beeceb4f5']",57,,,,,,,,,,,,,,,Spain Women's,863,00:45:57.224,Pass,True
,,,,,,,,,,,,,,,,,,1.797761,,,,,,,,,,,,,fcab2acc-045b-41d6-8699-b3b669beae54,3220,,"[84.8, 4.2]",3906390,91,,,,,2.6711884,,Left Foot,,,,"[73.0, 10.2]",,Ground Pass,,13.237824,,,,Teresa Abelleira Dueñas,,,,,,,2,Regular Play,Olga  Carmona García,49836.0,Left Back,174,Spain Women's,863,"['4ac45d25-d4c6-49a7-a56b-d9c461a4f1df', '8020c23a-f13f-4fb4-99f0-2de613d53334']",0,,,,,,,,,,,,,,,Spain Women's,863,00:46:00.345,Pass,True
