Rank,Name,Points
478,Leonardo Aboian,80
479,David Pichler,80
480,Yshai Oliel,79
481,August Holmgren,78
482,Alexis Gautier,78
483,Federico Arnaboldi,78
484,Ilya Snitari,78
485,Matias Zukas,77
486,Robert Strombachs,76
487,Jules Marie,75
488,Arklon Huertas Del Pino Cordova,74
489,Goncalo Oliveira,74
490,Khumoyun Sultanov,73
491,Ezekiel Clark,73
492,Sam Riffice,72
493,Konstantin Kravchuk,72
494,Pedro Sousa,72
495,Eduard Esteve Lobato,72
496,Yanki Erel,72
497,Thomas Fancutt,72
498,Stefano Napolitano,72
499,Sebastian Gima,72
500,Eliakim Coulibaly,71
