"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment","spin_axis","delta_home_win_exp","delta_run_exp"
"SI","2023-08-26","93.9","-3.42","5.34","Acuña Jr., Ronald",660670,676254,,"foul",,,,,5,"Ronald Acuna Jr.  strikes out swinging.","R","R","R","SF","ATL","S",,,0,0,2023,"-1.17","0.67","0.01","2.54",,,,0,1,"Top",,,,,672275,,,11.44053573874881,-136.25152044312816,-3.016647390150779,-17.04426646386462,28.68095278870424,-23.29916579946715,"3.42","1.53",198,"75",55,"93.7",2401,"6.2",716848,676254,672275,605204,642731,669477,657557,671218,596103,682641,"54.25",,,,,,,,1,1,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",242,"0","-0.038"
"SL","2023-08-25","83.5","-1.35","4.91","Acuña Jr., Ronald",660670,657277,"triple","hit_into_play",,,,,9,"Ronald Acuna Jr.  triples (3) on a sharp line drive to center fielder Wade Meckler.","R","R","R","SF","ATL","X",8,"line_drive",2,1,2023,"1.12","0.26","0.78","1.9",,,,0,6,"Top",176.79,45.75,,,666165,,,2.7352197532664597,-121.72736084154756,-1.04943184909049,10.671810257138835,22.65996164296795,-29.555305803514283,"3.5","1.6",372,"106.4",20,"84.7",2552,"6.9",716852,657277,666165,664774,642731,605204,657557,592626,685133,682641,"53.62",0.771,1.112,"1.6",1,1,2,6,37,4,"Slider",0,3,3,0,3,0,3,0,"Standard","Standard",62,"-0.045","0.856"
"CH","2023-08-25","88.2","-1.25","5.04","Acuña Jr., Ronald",660670,657277,,"called_strike",,,,,12,"Ronald Acuna Jr.  triples (3) on a sharp line drive to center fielder Wade Meckler.","R","R","R","SF","ATL","S",,,2,0,2023,"-1.13","0.25","0.86","2.51",,,,0,6,"Top",,,,,666165,,,7.552375029778881,-128.31430733470893,-0.6058989167269342,-14.035266407031624,24.645223262102228,-29.49308915139131,"3.41","1.45",,,,"89.3",1552,"6.8",716852,657277,666165,664774,642731,605204,657557,592626,685133,682641,"53.65",,,,,,,,37,3,"Changeup",0,3,3,0,3,0,3,0,"Standard","Standard",259,"0","-0.06"
"SI","2023-08-25","92.6","-1.13","5.11","Acuña Jr., Ronald",660670,657277,,"ball",,,,,13,"Ronald Acuna Jr.  triples (3) on a sharp line drive to center fielder Wade Meckler.","R","R","R","SF","ATL","B",,,1,0,2023,"-1.37","0.15","-0.34","0.92",,,,0,6,"Top",,,,,666165,,,5.08047741269426,-134.76604410621698,-5.290844662640033,-17.790885272697004,28.92009299406204,-29.41746305033976,"3.4","1.42",,,,"93.6",1495,"6.8",716852,657277,666165,664774,642731,605204,657557,592626,685133,682641,"53.67",,,,,,,,37,2,"Sinker",0,3,3,0,3,0,3,0,"Standard","Standard",269,"0","0.063"
"SL","2023-08-25","84.9","-1.32","5.09","Acuña Jr., Ronald",660670,657277,,"ball",,,,,14,"Ronald Acuna Jr.  triples (3) on a sharp line drive to center fielder Wade Meckler.","R","R","R","SF","ATL","B",,,0,0,2023,"0.75","0.48","1.77","1.98",,,,0,6,"Top",,,,,666165,,,5.759847903867772,-123.55822191078862,-1.9296557881216037,6.5478326633001105,24.63340328147208,-27.031930086511366,"3.31","1.42",,,,"85.4",2512,"6.6",716852,657277,666165,664774,642731,605204,657557,592626,685133,682641,"53.88",,,,,,,,37,1,"Slider",0,3,3,0,3,0,3,0,"Standard","Standard",63,"0","0.037"
"CH","2023-08-25","88.9","-1.28","5.03","Acuña Jr., Ronald",660670,657277,"field_out","hit_into_play",,,,,14,"Ronald Acuna Jr.  grounds out, shortstop Paul DeJong to first baseman LaMonte Wade Jr.","R","R","R","SF","ATL","X",6,"ground_ball",0,1,2023,"-0.92","-0.12","0.37","1.44",,,,2,3,"Top",108.15,151.5,,,666165,,,6.046238434013398,-129.44605533361928,-2.5980107669816306,-11.538643244675763,23.619826301299184,-33.26904204490329,"3.5","1.6",8,"94.4",-10,"90.4",1500,"6.9",716852,657277,666165,664774,642731,605204,657557,592626,685133,682641,"53.64",0.197,0.208,"0",1,0,0,2,16,2,"Changeup",0,1,1,0,1,0,1,0,"Standard","Standard",261,"0.01","-0.088"
"SL","2023-08-25","84.3","-1.37","4.99","Acuña Jr., Ronald",660670,657277,,"called_strike",,,,,6,"Ronald Acuna Jr.  grounds out, shortstop Paul DeJong to first baseman LaMonte Wade Jr.","R","R","R","SF","ATL","S",,,0,0,2023,"0.92","0.21","0.46","2.44",,,,2,3,"Top",,,,,666165,,,2.472136338629941,-122.84828529353723,-0.05524641017912635,8.936506418576576,21.369183160170785,-30.179738838745457,"3.37","1.45",,,,"85.8",2512,"6.9",716852,657277,666165,664774,642731,605204,657557,592626,685133,682641,"53.59",,,,,,,,16,1,"Slider",0,1,1,0,1,0,1,0,"Standard","Standard",61,"0","-0.018"
"SI","2023-08-25","90.8","1.94","5.26","Acuña Jr., Ronald",660670,622072,"field_out","hit_into_play",,,,,6,"Ronald Acuna Jr.  flies out sharply to center fielder Wade Meckler.   Nicky Lopez to 2nd.","R","R","L","SF","ATL","X",8,"fly_ball",0,0,2023,"1.34","1.05","0.38","2.57",,,670032,0,8,"Top",156.04,41.23,,,666165,,,-6.742558168171211,-132.10449070514923,-3.057207827239971,17.087828231215894,27.314451664006402,-19.429946739104306,"3.5","1.6",395,"105.7",30,"90.5",1903,"6",716852,622072,666165,664774,642731,605204,657557,592626,685133,682641,"54.47",0.929,1.873,"0",1,0,0,6,53,1,"Sinker",1,5,5,1,5,1,5,1,"Standard","Standard",121,"0.002","-0.356"
"CH","2023-08-25","89.2","-1.43","5.06","Acuña Jr., Ronald",660670,657277,"field_out","hit_into_play",,,,,14,"Ronald Acuna Jr.  flies out to right fielder Luis Matos.","R","R","R","SF","ATL","X",9,"fly_ball",1,1,2023,"-0.83","-0.44","0.43","1.37",,,,0,1,"Top",185.46,101.72,,,666165,,,6.384162687265174,-129.93531484985812,-2.2352760469655872,-10.626898310299257,23.944166172741696,-36.95212435239558,"3.5","1.6",282,"87.3",33,"90.8",1501,"6.9",716852,657277,666165,664774,642731,605204,657557,592626,685133,682641,"53.59",0.02,0.022,"0",1,0,0,3,1,3,"Changeup",0,0,0,0,0,0,0,0,"Standard","Standard",263,"0.022","-0.226"
"SI","2023-08-25","92.9","-1.33","5.21","Acuña Jr., Ronald",660670,657277,,"ball",,,,,13,"Ronald Acuna Jr.  flies out to right fielder Luis Matos.","R","R","R","SF","ATL","B",,,0,1,2023,"-1.26","0.47","-1.43","2.37",,,,0,1,"Top",,,,,666165,,,2.516604073234545,-135.4569260100021,-2.612088095357579,-16.071569405952083,27.04255382319458,-26.023448899801267,"3.37","1.42",,,,"94.1",1867,"6.7",716852,657277,666165,664774,642731,605204,657557,592626,685133,682641,"53.8",,,,,,,,1,2,"Sinker",0,0,0,0,0,0,0,0,"Standard","Standard",238,"0","0.027"
