time,latitude,longitude,altitude
2023-03-05 10:52:00+00:00,48.839666,2.437245,52.1
2023-03-05 10:52:01+00:00,48.839678,2.437222,52.2
2023-03-05 10:52:02+00:00,48.839717,2.437162,52.2
2023-03-05 10:52:03+00:00,48.839734,2.437141,52.3
2023-03-05 10:52:04+00:00,48.839751,2.437119,52.3
2023-03-05 10:52:05+00:00,48.83978,2.43707,52.4
2023-03-05 10:52:06+00:00,48.839794,2.437055,52.4
2023-03-05 10:52:07+00:00,48.839827,2.437003,52.5
2023-03-05 10:52:08+00:00,48.839842,2.43698,52.6
2023-03-05 10:52:09+00:00,48.839856,2.436957,52.6
2023-03-05 10:52:10+00:00,48.839897,2.436914,52.7
2023-03-05 10:52:11+00:00,48.839908,2.436901,52.7
2023-03-05 10:52:12+00:00,48.839942,2.436857,52.8
2023-03-05 10:52:13+00:00,48.839948,2.436827,52.9
2023-03-05 10:52:14+00:00,48.839954,2.436797,52.9
2023-03-05 10:52:15+00:00,48.839982,2.436735,53.0
2023-03-05 10:52:16+00:00,48.84,2.436716,53.1
2023-03-05 10:52:17+00:00,48.840018,2.436697,53.1
2023-03-05 10:52:18+00:00,48.840056,2.436658,53.3
2023-03-05 10:52:19+00:00,48.840064,2.436646,53.3
2023-03-05 10:52:20+00:00,48.84011,2.436607,53.4
2023-03-05 10:52:21+00:00,48.840123,2.436576,53.4
2023-03-05 10:52:22+00:00,48.840136,2.436546,53.5
2023-03-05 10:52:23+00:00,48.840172,2.436494,53.6
2023-03-05 10:52:24+00:00,48.840184,2.43648,53.6
2023-03-05 10:52:25+00:00,48.840228,2.436426,53.7
2023-03-05 10:52:26+00:00,48.840244,2.436402,53.8
2023-03-05 10:52:27+00:00,48.840259,2.436378,53.8
2023-03-05 10:52:28+00:00,48.84029,2.436324,53.9
2023-03-05 10:52:29+00:00,48.840302,2.436305,53.9
2023-03-05 10:52:30+00:00,48.84034,2.436262,54.0
2023-03-05 10:52:31+00:00,48.840358,2.436244,54.0
2023-03-05 10:52:32+00:00,48.840375,2.436226,54.1
2023-03-05 10:52:33+00:00,48.840419,2.436165,54.1
2023-03-05 10:52:34+00:00,48.840435,2.436141,54.2
2023-03-05 10:52:35+00:00,48.840451,2.436117,54.2
2023-03-05 10:52:36+00:00,48.840469,2.436067,54.3
2023-03-05 10:52:37+00:00,48.840473,2.43604,54.3
2023-03-05 10:52:38+00:00,48.840482,2.435954,54.2
2023-03-05 10:52:39+00:00,48.840488,2.435922,54.2
2023-03-05 10:52:40+00:00,48.840494,2.435889,54.2
2023-03-05 10:52:41+00:00,48.840473,2.435813,54.2
2023-03-05 10:52:42+00:00,48.840465,2.43579,54.2
2023-03-05 10:52:43+00:00,48.840435,2.43572,54.2
2023-03-05 10:52:44+00:00,48.840426,2.435691,54.2
2023-03-05 10:52:45+00:00,48.840417,2.435662,54.2
2023-03-05 10:52:46+00:00,48.840449,2.435599,54.2
2023-03-05 10:52:47+00:00,48.840465,2.435582,54.2
2023-03-05 10:52:48+00:00,48.840465,2.435498,54.2
2023-03-05 10:52:49+00:00,48.840462,2.43546,54.2
2023-03-05 10:52:50+00:00,48.84046,2.435421,54.2
2023-03-05 10:52:51+00:00,48.840489,2.435354,54.2
2023-03-05 10:52:52+00:00,48.840499,2.435324,54.2
2023-03-05 10:52:53+00:00,48.840509,2.435295,54.2
2023-03-05 10:52:54+00:00,48.840523,2.435233,54.3
2023-03-05 10:52:55+00:00,48.840526,2.435215,54.3
2023-03-05 10:52:56+00:00,48.840555,2.435136,54.3
2023-03-05 10:52:57+00:00,48.84057,2.435103,54.3
2023-03-05 10:52:58+00:00,48.840584,2.435071,54.3
2023-03-05 10:52:59+00:00,48.840612,2.43502,54.3
2023-03-05 10:53:00+00:00,48.84062,2.435002,54.3
2023-03-05 10:53:01+00:00,48.840629,2.434923,54.3
2023-03-05 10:53:02+00:00,48.840626,2.434885,54.3
2023-03-05 10:53:03+00:00,48.840623,2.434848,54.3
2023-03-05 10:53:04+00:00,48.840614,2.434779,54.2
2023-03-05 10:53:05+00:00,48.840608,2.434762,54.2
2023-03-05 10:53:06+00:00,48.840584,2.434679,54.2
2023-03-05 10:53:07+00:00,48.840574,2.434646,54.2
2023-03-05 10:53:08+00:00,48.840565,2.434613,54.2
2023-03-05 10:53:09+00:00,48.840543,2.434549,54.1
2023-03-05 10:53:10+00:00,48.840535,2.434521,54.1
2023-03-05 10:53:11+00:00,48.840511,2.434455,54.0
2023-03-05 10:53:12+00:00,48.840502,2.434426,54.0
2023-03-05 10:53:13+00:00,48.840493,2.434397,53.9
2023-03-05 10:53:14+00:00,48.840469,2.434323,53.9
2023-03-05 10:53:15+00:00,48.840463,2.434305,53.8
2023-03-05 10:53:16+00:00,48.840455,2.434224,53.7
2023-03-05 10:53:17+00:00,48.840449,2.434195,53.7
2023-03-05 10:53:18+00:00,48.840443,2.434166,53.7
2023-03-05 10:53:19+00:00,48.840421,2.434091,53.5
2023-03-05 10:53:20+00:00,48.840414,2.434061,53.4
2023-03-05 10:53:21+00:00,48.840407,2.434032,53.3
2023-03-05 10:53:22+00:00,48.840397,2.433962,53.2
2023-03-05 10:53:23+00:00,48.840393,2.433943,53.1
2023-03-05 10:53:24+00:00,48.840376,2.433876,53.0
2023-03-05 10:53:25+00:00,48.840366,2.433845,53.0
2023-03-05 10:53:26+00:00,48.840356,2.433814,52.9
2023-03-05 10:53:27+00:00,48.840341,2.433765,52.8
2023-03-05 10:53:28+00:00,48.84034,2.433749,52.8
2023-03-05 10:53:29+00:00,48.840308,2.433693,52.7
2023-03-05 10:53:30+00:00,48.840293,2.433661,52.6
2023-03-05 10:53:31+00:00,48.840277,2.433629,52.5
2023-03-05 10:53:32+00:00,48.840268,2.43356,52.4
2023-03-05 10:53:33+00:00,48.84027,2.433534,52.4
2023-03-05 10:53:34+00:00,48.840247,2.433456,52.2
2023-03-05 10:53:35+00:00,48.840242,2.433425,52.2
2023-03-05 10:53:36+00:00,48.840236,2.433393,52.1
2023-03-05 10:53:37+00:00,48.840208,2.433323,52.0
2023-03-05 10:53:38+00:00,48.840195,2.433291,51.9
2023-03-05 10:53:39+00:00,48.840182,2.433259,51.8
2023-03-05 10:53:40+00:00,48.840168,2.43319,51.7
2023-03-05 10:53:41+00:00,48.840168,2.433161,51.6
2023-03-05 10:53:42+00:00,48.840145,2.433084,51.5
2023-03-05 10:53:43+00:00,48.840136,2.433055,51.5
2023-03-05 10:53:44+00:00,48.840126,2.433027,51.4
2023-03-05 10:53:45+00:00,48.840109,2.432962,51.3
2023-03-05 10:53:46+00:00,48.840101,2.432947,51.3
2023-03-05 10:53:47+00:00,48.840084,2.432872,51.2
2023-03-05 10:53:48+00:00,48.840074,2.432842,51.1
2023-03-05 10:53:49+00:00,48.840065,2.432812,51.1
2023-03-05 10:53:50+00:00,48.840043,2.432741,51.0
2023-03-05 10:53:51+00:00,48.840037,2.432716,50.9
2023-03-05 10:53:52+00:00,48.840008,2.432647,50.8
2023-03-05 10:53:53+00:00,48.839998,2.432619,50.8
2023-03-05 10:53:54+00:00,48.839988,2.432591,50.7
2023-03-05 10:53:55+00:00,48.839983,2.432512,50.6
