GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,42000213,196,1628971,Bruce Brown,1610612751,Brooklyn Nets,2,8,14,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,11,-54,96,1,1,20210610,MIL,BKN
Shot Chart Detail,42000213,198,201950,Jrue Holiday,1610612749,Milwaukee Bucks,2,8,1,Missed Shot,Pullup Jump shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,8,36,73,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,200,1628971,Bruce Brown,1610612751,Brooklyn Nets,2,7,43,Made Shot,Cutting Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,11,15,1,1,20210610,MIL,BKN
Shot Chart Detail,42000213,214,1628455,Mike James,1610612751,Brooklyn Nets,2,7,11,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,7,-13,71,1,1,20210610,MIL,BKN
Shot Chart Detail,42000213,215,201572,Brook Lopez,1610612749,Milwaukee Bucks,2,6,54,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,22,-226,22,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,219,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,2,6,31,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,14,26,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,221,1628971,Bruce Brown,1610612751,Brooklyn Nets,2,6,22,Made Shot,Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,13,-70,118,1,1,20210610,MIL,BKN
Shot Chart Detail,42000213,223,201572,Brook Lopez,1610612749,Milwaukee Bucks,2,6,10,Missed Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,7,24,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,229,201950,Jrue Holiday,1610612749,Milwaukee Bucks,2,5,54,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-14,27,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,233,201142,Kevin Durant,1610612751,Brooklyn Nets,2,5,35,Missed Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,25,89,240,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,235,203507,Giannis Antetokounmpo,1610612749,Milwaukee Bucks,2,5,29,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,27,143,236,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,237,1628971,Bruce Brown,1610612751,Brooklyn Nets,2,5,6,Missed Shot,Jump Shot,3PT Field Goal,Left Corner 3,Left Side(L),24+ ft.,23,-231,-1,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,254,201142,Kevin Durant,1610612751,Brooklyn Nets,2,4,38,Missed Shot,Turnaround Fadeaway shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,32,151,1,0,20210610,MIL,BKN
Shot Chart Detail,42000213,270,203114,Khris Middleton,1610612749,Milwaukee Bucks,2,4,8,Made Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,13,-103,89,1,1,20210610,MIL,BKN
Shot Chart Detail,42000213,271,202681,Kyrie Irving,1610612751,Brooklyn Nets,2,3,52,Made Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,16,87,146,1,1,20210610,MIL,BKN
