Region,Life Expectancy - Interpolated,Year,Quadrant Region,African Region,Rank,Country Name
Western Pacific,73.290001,2002,Asia and Oceania,,46,Country 46
Africa,47.880001,2012,Africa,Southern Africa,50,Country 50
Africa,56.299999,2008,Africa,Eastern Africa,47,Country 47
Americas,73.980003,2009,Americas,,101,Country 101
Africa,59.130001,2014,Africa,Central Africa,45,Country 45
Africa,62.599998,2014,Africa,Eastern Africa,68,Country 68
Europe,75.360001,2006,Europe,,67,Country 67
Europe,63.619999,2000,Asia and Oceania,,126,Country 126
Western Pacific,79.379997,2000,Asia and Oceania,,125,Country 125
Europe,79.010002,2002,Europe,,104,Country 104
Europe,71.120003,2000,Europe,,49,Country 49
Americas,72.309998,2014,Americas,,44,Country 44
Americas,77.209999,2015,Americas,,71,Country 71
Africa,77.089996,2014,Africa,Northern Africa,48,Country 48
Europe,78.720001,2003,Europe,,16,Country 16
Africa,59.220001,2001,Africa,Western Africa,12,Country 12
Americas,79.260002,2008,Americas,,15,Country 15
Africa,65.919998,2015,Africa,Central Africa,11,Country 11
South-East Asia,73.230003,2003,Asia and Oceania,,26,Country 26
Eastern Mediterranean,65.870003,2008,Africa,Northern Africa,22,Country 22
Americas,76.839996,1999,Americas,,20,Country 20
Americas,77.900002,2014,Americas,,25,Country 25
Europe,78.089996,2004,Europe,,24,Country 24
Europe,82.970001,2016,Europe,,57,Country 57
Europe,69.830002,2007,Europe,,23,Country 23
Eastern Mediterranean,75,2016,Africa,Northern Africa,55,Country 55
Europe,80.360001,2012,Europe,,1,Country 1
South-East Asia,71.889999,1997,Asia and Oceania,,3,Country 3
Americas,80.980003,2016,Americas,,7,Country 7
Europe,78.190002,2009,Asia and Oceania,,4,Country 4
Europe,64.75,2005,Asia and Oceania,,53,Country 53
South-East Asia,66.82,2010,Asia and Oceania,,36,Country 36
Eastern Mediterranean,75.440002,2013,Asia and Oceania,,163,Country 163
Americas,77.330002,2016,Americas,,71,Country 71
Europe,71.550003,2008,Europe,,51,Country 51
Europe,67.389999,2009,Asia and Oceania,,126,Country 126
Europe,79.830002,2008,Europe,,16,Country 16
Africa,66.269997,2006,Africa,Western Africa,127,Country 127
Americas,77.900002,2003,Americas,,15,Country 15
Africa,62.16,2010,Africa,Western Africa,12,Country 12
Europe,81.559998,2011,Europe,,104,Country 104
Americas,72.25,2000,Americas,,101,Country 101
Western Pacific,82.440002,2009,Asia and Oceania,,125,Country 125
Western Pacific,79.660004,2008,Asia and Oceania,,124,Country 124
Americas,74.989998,2005,Americas,,25,Country 25
Africa,51.669998,1997,Africa,Southern Africa,152,Country 152
Europe,80.900002,2015,Europe,,24,Country 24
South-East Asia,75.550003,2008,Asia and Oceania,,26,Country 26
Eastern Mediterranean,63.740002,2003,Africa,Northern Africa,22,Country 22
Americas,71.550003,2011,Americas,,138,Country 138
Africa,71.110001,2001,Africa,Eastern Africa,139,Country 139
Europe,71.860001,2012,Europe,,23,Country 23
Western Pacific,60.27,2005,Asia and Oceania,,17,Country 17
Europe,77.68,1999,Europe,,1,Country 1
South-East Asia,75.949997,2011,Asia and Oceania,,3,Country 3
Africa,53.349998,2000,Africa,Central Africa,62,Country 62
Africa,64.809998,2012,Africa,Western Africa,113,Country 113
Eastern Mediterranean,63.529999,2002,Asia and Oceania,,83,Country 83
Europe,78.739998,2004,Europe,,116,Country 116
Africa,56,2003,Africa,Eastern Africa,119,Country 119
Europe,78.260002,2000,Europe,,118,Country 118
Eastern Mediterranean,73.050003,2000,Asia and Oceania,,120,Country 120
Europe,68.370003,2010,Asia and Oceania,,14,Country 14
Americas,78.330002,2014,Americas,,121,Country 121
Americas,74.25,2002,Americas,,159,Country 159
Eastern Mediterranean,80,2014,Asia and Oceania,,155,Country 155
Africa,59.150002,2016,Africa,Western Africa,13,Country 13
Europe,77.150002,2001,Europe,,158,Country 158
Europe,76.32,1999,Europe,,58,Country 58
Africa,57.669998,2007,Africa,Western Africa,156,Country 156
Europe,71.910004,2001,Europe,,157,Country 157
Americas,76.230003,2008,Americas,,146,Country 146
South-East Asia,70.849998,2016,Asia and Oceania,,9,Country 9
South-East Asia,72.43,1999,Asia and Oceania,,3,Country 3
Eastern Mediterranean,70.800003,2011,Africa,Northern Africa,144,Country 144
Americas,81.529999,2011,Americas,,147,Country 147
Eastern Mediterranean,64.959999,2003,Asia and Oceania,,145,Country 145
Americas,79.739998,2016,Americas,,100,Country 100
Africa,59.240002,2009,Africa,Central Africa,103,Country 103
Eastern Mediterranean,77.459999,2016,Africa,Northern Africa,98,Country 98
Europe,78.290001,2007,Europe,,132,Country 132
Europe,71.989998,2008,Europe,,54,Country 54
Eastern Mediterranean,71.440002,2000,Asia and Oceania,,52,Country 52
Africa,66.620003,2013,Africa,Eastern Africa,2,Country 2
Africa,45.259998,2004,Africa,Eastern Africa,39,Country 39
Eastern Mediterranean,74.339996,1998,Africa,Northern Africa,32,Country 32
Eastern Mediterranean,73.309998,2009,Africa,Northern Africa,55,Country 55
South-East Asia,76.879997,2014,Asia and Oceania,,3,Country 3
Europe,81.959999,2012,Asia and Oceania,,34,Country 34
Europe,74.120003,2013,Europe,,51,Country 51
Europe,80.910004,2005,Europe,,94,Country 94
Africa,58.169998,2007,Africa,Eastern Africa,93,Country 93
Africa,46.990002,1997,Africa,Eastern Africa,47,Country 47
Americas,72.330002,2003,Americas,,88,Country 88
Americas,74.75,2011,Americas,,91,Country 91
Africa,51.799999,2009,Africa,Eastern Africa,89,Country 89
Africa,66.269997,2012,Africa,Western Africa,5,Country 5
South-East Asia,65.730003,2009,Asia and Oceania,,92,Country 92
Europe,64.419998,2000,Asia and Oceania,,53,Country 53
Western Pacific,81.25,2012,Asia and Oceania,,150,Country 150
Europe,72.18,2000,Europe,,161,Country 161
Americas,77.419998,2009,Americas,,160,Country 160
Africa,62.630001,2012,Africa,Western Africa,164,Country 164
Americas,75.669998,2000,Americas,,160,Country 160
Western Pacific,79.889999,2005,Asia and Oceania,,150,Country 150
Western Pacific,64.550003,2011,Asia and Oceania,,17,Country 17
Europe,73.639999,2009,Europe,,161,Country 161
Americas,71.870003,2012,Americas,,138,Country 138
South-East Asia,63.720001,2000,Asia and Oceania,,43,Country 43
Africa,72.309998,2006,Africa,Eastern Africa,139,Country 139
Americas,74.440002,1997,Americas,,160,Country 160
Americas,74.32,2003,Americas,,25,Country 25
Americas,74.32,2015,Americas,,159,Country 159
Europe,74.629997,2012,Europe,,157,Country 157
Africa,59.439999,2010,Africa,Western Africa,156,Country 156
Western Pacific,82.580002,2014,Asia and Oceania,,41,Country 41
Eastern Mediterranean,77.699997,2003,Asia and Oceania,,155,Country 155
Europe,80.160004,2012,Europe,,158,Country 158
Europe,79.110001,1999,Europe,,57,Country 57
Europe,72.629997,2003,Europe,,64,Country 64
Africa,44.189999,2002,Africa,Southern Africa,65,Country 65
Europe,80.580002,2012,Europe,,66,Country 66
Africa,52.419998,2000,Africa,Western Africa,115,Country 115
Africa,52.470001,1998,Africa,Eastern Africa,68,Country 68
Africa,51.360001,2000,Africa,Eastern Africa,63,Country 63
Americas,80.769997,2014,Americas,,7,Country 7
Americas,62.990002,1998,Americas,,44,Country 44
Americas,73.199997,2006,Americas,,88,Country 88
Europe,79.599998,2000,Europe,,94,Country 94
Africa,56.040001,2012,Africa,Eastern Africa,89,Country 89
Americas,74.870003,2014,Americas,,91,Country 91
Africa,54.990002,1998,Africa,Central Africa,45,Country 45
Africa,53.84,2002,Africa,Eastern Africa,93,Country 93
South-East Asia,70.43,2012,Asia and Oceania,,9,Country 9
Americas,74.410004,1999,Americas,,71,Country 71
Africa,73.089996,1998,Africa,Northern Africa,48,Country 48
South-East Asia,66.910004,2012,Asia and Oceania,,92,Country 92
Africa,65.099998,2009,Africa,Western Africa,5,Country 5
Americas,78.830002,2015,Americas,,142,Country 142
Americas,75.440002,2008,Americas,,143,Country 143
Africa,53.849998,2005,Africa,Central Africa,141,Country 141
Western Pacific,65.730003,2009,Asia and Oceania,,140,Country 140
Eastern Mediterranean,65.699997,1998,Asia and Oceania,,145,Country 145
Americas,75.639999,2016,Americas,,87,Country 87
Europe,74.160004,2011,Europe,,161,Country 161
Americas,76.099998,2002,Americas,,160,Country 160
Western Pacific,80.230003,2007,Asia and Oceania,,150,Country 150
Eastern Mediterranean,75.379997,2008,Asia and Oceania,,130,Country 130
Europe,75.019997,2006,Europe,,128,Country 128
Eastern Mediterranean,76.150002,2008,Asia and Oceania,,131,Country 131
Europe,80.800003,2011,Europe,,118,Country 118
Western Pacific,68.919998,1997,Asia and Oceania,,112,Country 112
Africa,62.689999,2007,Africa,Western Africa,113,Country 113
Eastern Mediterranean,76.050003,2011,Asia and Oceania,,120,Country 120
Europe,81.529999,2015,Europe,,116,Country 116
Africa,71.260002,2006,Africa,Western Africa,6,Country 6
Americas,77.389999,2005,Americas,,121,Country 121
Eastern Mediterranean,67.019997,2009,Asia and Oceania,,83,Country 83
Africa,60.650002,2008,Africa,Eastern Africa,119,Country 119
Africa,45.509998,2002,Africa,Eastern Africa,135,Country 135
Europe,69.709999,2012,Asia and Oceania,,53,Country 53
Western Pacific,59.220001,1999,Asia and Oceania,,86,Country 86
Europe,82.230003,2012,Europe,,134,Country 134
Americas,76.010002,2005,Americas,,133,Country 133
Europe,71.610001,2001,Europe,,51,Country 51
Americas,73.790001,1997,Americas,,70,Country 70
Eastern Mediterranean,50.080002,1998,Asia and Oceania,,69,Country 69
Western Pacific,77.57,1997,Asia and Oceania,,150,Country 150
Europe,77.809998,2004,Europe,,158,Country 158
Europe,72.470001,2004,Europe,,157,Country 157
Americas,74.07,2007,Americas,,159,Country 159
Africa,54.349998,2002,Africa,Western Africa,156,Country 156
Eastern Mediterranean,78.989998,2011,Asia and Oceania,,155,Country 155
Americas,74.470001,2002,Americas,,109,Country 109
Europe,74.809998,2014,Europe,,54,Country 54
Africa,65.480003,2011,Africa,Eastern Africa,2,Country 2
Europe,81.489998,2010,Asia and Oceania,,34,Country 34
Eastern Mediterranean,74.790001,2015,Africa,Northern Africa,55,Country 55
Africa,44.400002,2002,Africa,Eastern Africa,39,Country 39
Eastern Mediterranean,72.849998,2006,Asia and Oceania,,52,Country 52
Europe,80.190002,2007,Europe,,111,Country 111
Africa,42.619999,2004,Africa,Southern Africa,65,Country 65
Europe,72.519997,2005,Europe,,64,Country 64
Americas,77.43,2010,Americas,,160,Country 160
Europe,72.529999,2003,Europe,,161,Country 161
Western Pacific,81.489998,2015,Asia and Oceania,,150,Country 150
Europe,80.389999,2010,Europe,,66,Country 66
Americas,76.800003,2014,Americas,,133,Country 133
Africa,47.509998,2009,Africa,Eastern Africa,135,Country 135
Eastern Mediterranean,74.75,1997,Asia and Oceania,,60,Country 60
Americas,72.209999,2008,Americas,,153,Country 153
Africa,54.060001,2007,Africa,Southern Africa,10,Country 10
Western Pacific,80.809998,2004,Asia and Oceania,,41,Country 41
Western Pacific,65.699997,2013,Asia and Oceania,,17,Country 17
Africa,56.200001,2010,Africa,Western Africa,115,Country 115
Africa,75.620003,2006,Africa,Northern Africa,48,Country 48
Western Pacific,74.410004,2010,Asia and Oceania,,46,Country 46
Africa,47.889999,2000,Africa,Eastern Africa,47,Country 47
Americas,70.830002,2006,Americas,,44,Country 44
Americas,75.849998,2007,Americas,,71,Country 71
Americas,70.669998,1998,Americas,,88,Country 88
Europe,67.269997,2008,Asia and Oceania,,14,Country 14
Europe,73.099998,2008,Europe,,49,Country 49
Africa,43.82,2004,Africa,Southern Africa,50,Country 50
Africa,55.27,2006,Africa,Central Africa,45,Country 45
Europe,77.300003,2014,Europe,,67,Country 67
Africa,56,2006,Africa,Eastern Africa,68,Country 68
Eastern Mediterranean,79.739998,2013,Asia and Oceania,,85,Country 85
Americas,74.080002,2008,Americas,,87,Country 87
Eastern Mediterranean,75.010002,2000,Asia and Oceania,,60,Country 60
Europe,75.050003,2004,Europe,,61,Country 61
Europe,71.690002,2004,Europe,,84,Country 84
Africa,71.830002,2008,Africa,Western Africa,6,Country 6
Western Pacific,65.779999,2009,Asia and Oceania,,86,Country 86
Americas,57.080002,2001,Americas,,77,Country 77
Africa,70.599998,2016,Africa,Central Africa,165,Country 165
Americas,75.019997,2014,Americas,,101,Country 101
Africa,67.260002,2008,Africa,Western Africa,127,Country 127
Western Pacific,68.230003,1997,Asia and Oceania,,137,Country 137
Europe,66.290001,2007,Asia and Oceania,,126,Country 126
Western Pacific,80.389999,1997,Asia and Oceania,,80,Country 80
Europe,82.010002,2013,Europe,,82,Country 82
Western Pacific,81.639999,2007,Asia and Oceania,,125,Country 125
Europe,80.040001,2005,Europe,,104,Country 104
Africa,48.18,1999,Africa,Eastern Africa,81,Country 81
Western Pacific,78.900002,2006,Asia and Oceania,,124,Country 124
Africa,54.77,1999,Africa,Western Africa,78,Country 78
Americas,63.259998,2014,Americas,,77,Country 77
Europe,79.589996,2002,Europe,,82,Country 82
Eastern Mediterranean,74.870003,2000,Africa,Northern Africa,98,Country 98
Europe,73.580002,2011,Europe,,51,Country 51
Africa,65.279999,2008,Africa,Eastern Africa,99,Country 99
Europe,65.050003,2006,Asia and Oceania,,53,Country 53
Europe,79.660004,2007,Europe,,97,Country 97
Europe,78.940002,2001,Europe,,102,Country 102
Americas,74.809998,2000,Americas,,100,Country 100
Eastern Mediterranean,73.309998,2003,Asia and Oceania,,90,Country 90
Europe,75.639999,2003,Europe,,74,Country 74
Europe,79.970001,2000,Europe,,95,Country 95
Europe,77.449997,2015,Europe,,75,Country 75
Americas,72.75,2016,Americas,,138,Country 138
Europe,71.199997,2012,Europe,,110,Country 110
Africa,54.889999,2004,Africa,Western Africa,38,Country 38
Americas,68.739998,2002,Americas,,73,Country 73
Americas,72.860001,2014,Americas,,153,Country 153
Europe,74.260002,2000,Europe,,128,Country 128
Africa,55.040001,2008,Africa,Western Africa,115,Country 115
Eastern Mediterranean,66.720001,2014,Asia and Oceania,,130,Country 130
Eastern Mediterranean,76.580002,2014,Asia and Oceania,,131,Country 131
Africa,70.440002,1998,Africa,Eastern Africa,139,Country 139
Americas,78.940002,2012,Americas,,20,Country 20
Europe,81.68,2009,Europe,,57,Country 57
Europe,70.239998,2016,Asia and Oceania,,126,Country 126
Europe,66.650002,2005,Asia and Oceania,,19,Country 19
Eastern Mediterranean,62.490002,2007,Africa,Eastern Africa,59,Country 59
Europe,78.519997,2004,Europe,,58,Country 58
Western Pacific,83.730003,2016,Asia and Oceania,,125,Country 125
Europe,74.199997,1998,Europe,,128,Country 128
Eastern Mediterranean,63.77,2006,Asia and Oceania,,145,Country 145
