Region,Life Expectancy - Interpolated,Year,Quadrant Region,African Region,Rank,Country Name
Eastern Mediterranean,71.68,2014,Africa,Northern Africa,144,Country 144
Africa,61.68,2012,Africa,Central Africa,103,Country 103
Americas,77.470001,2013,Americas,,146,Country 146
Americas,81.790001,2014,Americas,,147,Country 147
Europe,76.599998,2002,Europe,,132,Country 132
Europe,79.540001,1999,Europe,,33,Country 33
Africa,62.25,1997,Africa,Western Africa,127,Country 127
Europe,70.93,2007,Europe,,54,Country 54
Western Pacific,68.5,2008,Asia and Oceania,,137,Country 137
Western Pacific,78.209999,1999,Asia and Oceania,,150,Country 150
Americas,69.660004,2001,Americas,,153,Country 153
South-East Asia,66.470001,2006,Asia and Oceania,,43,Country 43
Americas,74.190002,2000,Americas,,109,Country 109
Africa,62.5,2013,Africa,Western Africa,78,Country 78
Western Pacific,81.029999,2000,Asia and Oceania,,80,Country 80
Africa,60.27,2010,Africa,Central Africa,79,Country 79
Africa,50.130001,2002,Africa,Eastern Africa,81,Country 81
Eastern Mediterranean,75.57,1997,Asia and Oceania,,85,Country 85
Africa,45.009998,2004,Africa,Eastern Africa,135,Country 135
Western Pacific,68.050003,2000,Asia and Oceania,,137,Country 137
Europe,82.029999,2010,Europe,,134,Country 134
Americas,75.779999,2003,Americas,,133,Country 133
Western Pacific,68.660004,2009,Asia and Oceania,,137,Country 137
South-East Asia,67.940002,2012,Asia and Oceania,,36,Country 36
Europe,79.019997,2015,Asia and Oceania,,4,Country 4
Africa,57.639999,1997,Africa,Southern Africa,10,Country 10
Europe,79.540001,2007,Europe,,1,Country 1
Europe,72.029999,2016,Europe,,29,Country 29
Western Pacific,55.5,1997,Asia and Oceania,,17,Country 17
Americas,75.050003,2005,Americas,,72,Country 72
Eastern Mediterranean,51.66,2001,Asia and Oceania,,69,Country 69
Europe,71.379997,1998,Europe,,51,Country 51
South-East Asia,68.550003,2016,Asia and Oceania,,92,Country 92
Americas,74.080002,2002,Americas,,70,Country 70
Americas,69.919998,2002,Americas,,153,Country 153
Africa,55.619999,2008,Africa,Southern Africa,10,Country 10
Africa,60.18,2016,Africa,Eastern Africa,89,Country 89
Africa,52.68,2001,Africa,Western Africa,38,Country 38
Europe,69.610001,2009,Europe,,110,Country 110
Americas,70.709999,2007,Americas,,73,Country 73
Europe,76.550003,2006,Europe,,74,Country 74
Eastern Mediterranean,76.769997,2016,Asia and Oceania,,107,Country 107
Europe,76.230003,2010,Europe,,75,Country 75
Africa,70.300003,2002,Africa,Western Africa,6,Country 6
Africa,60.16,1998,Africa,Eastern Africa,99,Country 99
Americas,77.480003,1998,Americas,,7,Country 7
Europe,70.860001,2014,Europe,,154,Country 154
Africa,61.830002,2010,Africa,Western Africa,164,Country 164
Americas,68.260002,1999,Americas,,138,Country 138
Africa,52.360001,1999,Africa,Central Africa,141,Country 141
Africa,52.919998,2003,Africa,Western Africa,115,Country 115
Africa,47.700001,2005,Africa,Southern Africa,152,Country 152
Europe,75.419998,2003,Europe,,18,Country 18
Americas,78.599998,2009,Americas,,20,Country 20
Europe,66.330002,2000,Asia and Oceania,,19,Country 19
Africa,69.290001,2012,Africa,Central Africa,165,Country 165
Europe,75.029999,2016,Europe,,157,Country 157
Europe,80.82,2016,Europe,,158,Country 158
Americas,72.639999,1997,Americas,,25,Country 25
Europe,69.889999,2009,Europe,,151,Country 151
Europe,82.660004,2012,Europe,,95,Country 95
Eastern Mediterranean,76.519997,2015,Asia and Oceania,,90,Country 90
Western Pacific,72.879997,2006,Asia and Oceania,,112,Country 112
Africa,57.16,2008,Africa,Western Africa,114,Country 114
Americas,76.059998,1998,Americas,,121,Country 121
Africa,70.32,2015,Africa,Central Africa,165,Country 165
Europe,74.870003,2000,Europe,,18,Country 18
Europe,66.019997,1997,Asia and Oceania,,19,Country 19
Europe,80.889999,2015,Europe,,1,Country 1
Americas,76.449997,2010,Americas,,25,Country 25
Africa,62.68,2016,Africa,Eastern Africa,148,Country 148
Eastern Mediterranean,66.800003,2012,Africa,Northern Africa,22,Country 22
Europe,66.489998,2002,Asia and Oceania,,14,Country 14
Europe,67.709999,1998,Europe,,151,Country 151
Europe,76.699997,2000,Europe,,24,Country 24
South-East Asia,75.050003,2007,Asia and Oceania,,26,Country 26
Europe,68.300003,2003,Europe,,23,Country 23
South-East Asia,61.099998,2000,Asia and Oceania,,36,Country 36
Europe,75.440002,2003,Asia and Oceania,,4,Country 4
Europe,70.050003,2015,Asia and Oceania,,19,Country 19
Americas,77.949997,2006,Americas,,20,Country 20
Africa,54.310001,2007,Africa,Eastern Africa,81,Country 81
