title,start_time,end_time,description,exercise_title,superset_id,exercise_notes,set_index,set_type,weight_kg,reps,distance_km,duration_seconds,rpe,Date_Use
Morning workout ☀️,"19 Sep 2023, 07:53","19 Sep 2023, 08:30","",Lat Pulldown (Cable),,"",4,normal,40,10,,,,2023-09-19
Morning workout ☀️,"19 Sep 2023, 07:53","19 Sep 2023, 08:30","",Dumbbell Row,,"",0,normal,25,10,,,,2023-09-19
Morning workout ☀️,"19 Sep 2023, 07:53","19 Sep 2023, 08:30","",Dumbbell Row,,"",1,normal,25,10,,,,2023-09-19
Morning workout ☀️,"19 Sep 2023, 07:53","19 Sep 2023, 08:30","",Dumbbell Row,,"",2,normal,25,10,,,,2023-09-19
Morning workout ☀️,"19 Sep 2023, 07:53","19 Sep 2023, 08:30","",Bicep Curl (Cable),,"",0,normal,20,10,,,,2023-09-19
Morning workout ☀️,"19 Sep 2023, 07:53","19 Sep 2023, 08:30","",Bicep Curl (Cable),,"",1,normal,30,10,,,,2023-09-19
Morning workout ☀️,"19 Sep 2023, 07:53","19 Sep 2023, 08:30","",Bicep Curl (Cable),,"",2,normal,30,10,,,,2023-09-19
Morning workout ☀️,"19 Sep 2023, 07:53","19 Sep 2023, 08:30","",Bicep Curl (Cable),,"",3,normal,30,10,,,,2023-09-19
Morning workout ☀️,"19 Sep 2023, 07:53","19 Sep 2023, 08:30","",Rear Delt Reverse Fly (Dumbbell),,"",0,normal,12.5,10,,,,2023-09-19
Morning workout ☀️,"19 Sep 2023, 07:53","19 Sep 2023, 08:30","",Rear Delt Reverse Fly (Dumbbell),,"",1,normal,12.5,10,,,,2023-09-19
Morning workout ☀️,"19 Sep 2023, 07:53","19 Sep 2023, 08:30","",Rear Delt Reverse Fly (Dumbbell),,"",2,normal,12.5,10,,,,2023-09-19
Morning workout ☀️,"19 Sep 2023, 07:53","19 Sep 2023, 08:30","",Iso-Lateral Row (Machine),,"",0,normal,30,12,,,,2023-09-19
Morning workout ☀️,"19 Sep 2023, 07:53","19 Sep 2023, 08:30","",Iso-Lateral Row (Machine),,"",1,normal,45,12,,,,2023-09-19
Morning workout ☀️,"19 Sep 2023, 07:53","19 Sep 2023, 08:30","",Iso-Lateral Row (Machine),,"",2,normal,45,10,,,,2023-09-19
Morning workout ☀️,"19 Sep 2023, 07:53","19 Sep 2023, 08:30","",Hammer Curl (Dumbbell),,"",0,normal,10,10,,,,2023-09-19
Morning workout ☀️,"19 Sep 2023, 07:53","19 Sep 2023, 08:30","",Hammer Curl (Dumbbell),,"",1,normal,10,10,,,,2023-09-19
Morning workout ☀️,"19 Sep 2023, 07:53","19 Sep 2023, 08:30","",Hammer Curl (Dumbbell),,"",2,normal,16,10,,,,2023-09-19
Morning workout ☀️,"19 Sep 2023, 07:53","19 Sep 2023, 08:30","",Hammer Curl (Dumbbell),,"",3,normal,16,10,,,,2023-09-19
Evening workout 🏋️,"13 Sep 2023, 18:06","13 Sep 2023, 19:01","",Push Up,,"",0,normal,,12,,,,2023-09-13
