event_use,order ,event_id,event_type,result,success,period_id,timestamp,end_timestamp,ball_state,ball_owning_team,team_id,player_id,coordinates_x,coordinates_y,end_coordinates_x,end_coordinates_y,receiver_player_id,set_piece_type,body_part_type,pass_type,card_type
,,aa9e1428-a606-420e-a685-92569e94b26f,PASS,COMPLETE,TRUE,1,84.503,86.828,alive,1214,1214,5021,86.35,79.95,101.75,69.55,5085,THROW_IN,,HIGH_PASS,
,,31892d15-78a7-4254-b0b4-7a820fa65d36,GENERIC:Pressure,,,1,86.48,,alive,1214,851,10647,17.05,7.55,,,,,,,
,,86606c31-ad50-4beb-8cff-6cf5771a34d2,GENERIC:Ball Receipt*,,,1,86.828,,alive,1214,1214,5085,101.75,69.55,,,,,,,
,,9f4faec5-ac32-4598-bebc-201f536a9f59,CARRY,COMPLETE,TRUE,1,86.828,87.841,alive,1214,1214,5085,101.75,69.55,106.55,75.65,,,,,
,,2573162c-84b3-4b94-b1d9-678861ba979b,TAKE_ON,INCOMPLETE,FALSE,1,87.841,,alive,1214,1214,5085,106.55,75.65,,,,,,,
,,acaa44f6-369c-4572-825d-b85d564a49d9,GENERIC:Duel,,,1,87.841,,alive,1214,851,10647,14.35,5.25,,,,,,,
,,d54c246f-dbf2-4c4f-8ad1-c3da9e2fcb39,PASS,INCOMPLETE,FALSE,1,97.252,98.377226,alive,1214,1214,5021,107.05,79.95,113.85,75.35,,THROW_IN,,,
,,40def375-5dcb-4c83-abe5-76ebb388b0b2,GENERIC:Ball Receipt*,,,1,98.378,,alive,1214,1214,5085,116.35,74.65,,,,,,,
,,73e5eb4a-8eef-4f4b-aec6-73cd3dd5c5bc,GENERIC:Interception,,,1,98.378,,alive,1214,851,10649,7.05,5.55,,,,,,,
,,e1fa28f4-1c30-4327-8d13-5c43c8b55df7,CARRY,COMPLETE,TRUE,1,98.378,100.747374,alive,1214,851,10649,7.05,5.55,11.45,9.65,,,,,
,,0a2147ef-99cb-44c0-9baa-dae3ebaf0e5f,GENERIC:Pressure,,,1,99.699,,alive,1214,1214,5085,111.45,72.55,,,,,,,
,,02bda262-6702-46ef-8e8c-975720f1303a,PASS,INCOMPLETE,FALSE,1,100.747,101.7523,alive,1214,851,10649,11.45,9.65,24.55,13.15,,,RIGHT_FOOT,,
,,aef3e181-bcc1-43a1-b2dc-cfbcef44b207,GENERIC:Ball Receipt*,,,1,101.752,,alive,1214,851,10656,30.75,24.15,,,,,,,
,,a3aacff7-6a19-4be9-8d34-e0f3ff7d13b8,RECOVERY,,,1,101.752,,alive,1214,1214,4949,96.35,67.75,,,,,,,
,,ed603f14-992e-42ec-8015-3834b6826602,CARRY,COMPLETE,TRUE,1,101.752,104.3614,alive,1214,1214,4949,96.35,67.75,91.55,63.05,,,,,
,,de33cba1-252c-44a1-8848-d923121e20bf,GENERIC:Pressure,,,1,103.202,,alive,1214,851,10645,29.15,17.15,,,,,,,
,,bb675657-276b-4890-adfc-80df77d6a658,PASS,COMPLETE,TRUE,1,104.362,105.23361,alive,1214,1214,4949,91.55,63.05,81.45,52.25,6811,,LEFT_FOOT,,
,,47580873-2d34-46b7-a651-8f70980b7908,GENERIC:Ball Receipt*,,,1,105.233,,alive,1214,1214,6811,81.45,52.25,,,,,,,
,,36ee6de4-5bc1-400f-b045-2ca21c511642,CARRY,COMPLETE,TRUE,1,105.233,106.14349,alive,1214,1214,6811,81.45,52.25,81.05,47.55,,,,,
,,56400778-8a71-4b8c-a4d8-3164b3cb7ea6,PASS,COMPLETE,TRUE,1,106.144,107.2569,alive,1214,1214,6811,81.05,47.55,83.45,31.95,5088,,RIGHT_FOOT,,
,,042125bd-deb2-432f-8957-5ac59eb6e068,GENERIC:Ball Receipt*,,,1,107.257,,alive,1214,1214,5088,83.45,31.95,,,,,,,
,,31569e6d-e287-4947-ac04-627732e41361,CARRY,COMPLETE,TRUE,1,107.257,108.6602,alive,1214,1214,5088,83.45,31.95,88.05,29.55,,,,,
,,627f3e4c-7654-4cdf-8dea-7b0975ffa191,PASS,COMPLETE,TRUE,1,108.66,111.222399,alive,1214,1214,5088,88.05,29.55,111.65,20.65,5087,,RIGHT_FOOT,,
,,73e8c289-0cf0-4569-a824-0ec6ab30554a,GENERIC:Pressure,,,1,110.806,,alive,1214,851,10652,12.15,57.15,,,,,,,
,,4974008c-57e0-4d68-bce2-b413414138cf,GENERIC:Ball Receipt*,,,1,111.222,,alive,1214,1214,5087,111.65,20.65,,,,,,,
,,db6aec04-ffff-4c89-baf7-053c8d753d67,CARRY,COMPLETE,TRUE,1,111.222,112.499301,alive,1214,1214,5087,111.65,20.65,117.25,22.05,,,,,
,,694f75d5-0f86-4a87-a574-0c4af17c4596,PASS,INCOMPLETE,FALSE,1,112.5,113.8739,alive,1214,1214,5087,117.25,22.05,109.45,31.65,,,LEFT_FOOT,CROSS,
,,08df51ed-0e98-4991-91d6-a6c1ed428356,GENERIC:Clearance,,,1,113.873,,alive,1214,851,10654,11.45,49.25,,,,,,,
,,ba076b86-a006-4684-b67d-7b6e728b3787,RECOVERY,,,1,114.982,,alive,1214,1214,8298,104.25,13.35,,,,,,,
,,76670dfd-4dfc-4db1-863f-4208db06ade2,CARRY,COMPLETE,TRUE,1,114.982,122.1957,alive,1214,1214,8298,104.25,13.35,88.65,13.35,,,,,
,,764e7e68-6ee5-4945-bcf9-4f775b065d14,GENERIC:Pressure,,,1,117.847,,alive,1214,851,10658,17.05,66.75,,,,,,,
,,aa393b50-0ea2-40b4-912f-dfa22187cbfb,PASS,COMPLETE,TRUE,1,122.195,123.289,alive,1214,1214,8298,88.65,13.35,92.85,14.55,5088,,RIGHT_FOOT,,
,,95513994-8462-4a44-82a0-de4d09444eff,GENERIC:Ball Receipt*,,,1,122.865,,alive,1214,1214,5088,92.85,14.55,,,,,,,
,,7003c84d-be9a-4028-9434-24b7859fbd0a,CARRY,COMPLETE,TRUE,1,122.865,126.034742,alive,1214,1214,5088,92.85,14.55,103.15,4.75,,,,,
,,3d2ab4c1-825a-4e7d-bd7c-a8fc8a66816f,GENERIC:Block,,,1,122.865,,alive,1214,851,10658,28.75,68.65,,,,,,,
,,27a10456-1d8a-4892-a501-9bafd318b575,PASS,INCOMPLETE,FALSE,1,126.035,126.2975,alive,1214,1214,5088,103.15,4.75,108.05,9.85,,,RIGHT_FOOT,,
,,faca0d97-28c1-43a9-bbcb-88a875b798c1,GENERIC:Ball Receipt*,,,1,126.298,,alive,1214,1214,8298,109.05,12.35,,,,,,,
,,0bee1529-f938-4115-917a-109f2da233b9,GENERIC:Block,,,1,126.298,,alive,1214,851,10657,12.85,71.05,,,,,,,
,,00f71cb1-3a59-46c3-9057-f1a3dbcd1bdf,RECOVERY,,,1,128.026,,alive,851,851,10654,16.65,64.75,,,,,,,
,,d4f840cb-7bdb-4b46-bb08-b4de6d1bea13,CARRY,COMPLETE,TRUE,1,128.026,130.829821,alive,851,851,10654,16.65,64.75,29.05,78.55,,,,,
,,45d46e18-0390-43b3-98bc-2a32aa9c397b,TAKE_ON,INCOMPLETE,FALSE,1,130.83,,alive,851,851,10654,29.05,78.55,,,,,,,
,,013ff44d-5a3e-486f-82e2-28362aaea321,GENERIC:Duel,,,1,130.83,,alive,851,1214,5088,91.85,2.35,,,,,,,
,,bb906820-a5c8-42ca-b9ea-1323c219f6f7,PASS,COMPLETE,TRUE,1,154.397,155.8841,alive,851,851,10657,20.85,79.95,42.55,76.25,10658,THROW_IN,,HIGH_PASS,
,,dd3eb879-d29c-42b2-99a9-40a1cd7991ce,GENERIC:Ball Receipt*,,,1,155.884,,alive,851,851,10658,42.55,76.25,,,,,,,
,,694b54da-b8d2-4dc6-b58c-c52ac47e6488,PASS,INCOMPLETE,FALSE,1,155.884,156.8835,alive,851,851,10658,41.35,77.15,32.25,70.55,,,HEAD,HEAD_PASS,
,,495347e0-47f6-491e-8962-36a46787dc2e,GENERIC:Ball Receipt*,,,1,156.883,,alive,851,851,10654,33.25,69.55,,,,,,,
,,5098a60b-941a-4bd5-b04b-8db1e78595a2,PASS,COMPLETE,TRUE,1,156.883,159.630835,alive,1214,1214,4949,88.65,10.35,53.85,14.35,5081,,LEFT_FOOT,LONG_BALL,
,,0553a21c-44cd-4d46-8a63-81af03171ab2,GENERIC:Ball Receipt*,,,1,159.631,,alive,1214,1214,5081,53.85,14.35,,,,,,,
,,92cb02ae-af04-421a-a698-a4ffb096c84d,CARRY,COMPLETE,TRUE,1,159.631,159.651465,alive,1214,1214,5081,53.85,14.35,53.85,14.35,,,,,
,,fabdea1f-22c8-4ca6-91fd-583074463e4f,PASS,COMPLETE,TRUE,1,159.651,160.538207,alive,1214,1214,5081,53.85,14.35,55.55,5.45,5030,,RIGHT_FOOT,,
,,cd815a8f-e836-48b6-9e67-2323e43a66ae,GENERIC:Ball Receipt*,,,1,160.539,,alive,1214,1214,5030,55.55,5.45,,,,,,,
,,12e8e84a-57b8-4dc4-bfd1-eadea8d3c870,CARRY,COMPLETE,TRUE,1,160.539,161.701593,alive,1214,1214,5030,55.55,5.45,53.95,7.85,,,,,
,,77d6bb3a-9e89-45fe-bd4e-d06840ebeaa2,PASS,COMPLETE,TRUE,1,161.701,162.584611,alive,1214,1214,5030,53.95,7.85,68.15,2.05,5088,,RIGHT_FOOT,,
,,54eae500-4b71-466d-82ff-25a713345c78,GENERIC:Ball Receipt*,,,1,162.585,,alive,1214,1214,5088,68.15,2.05,,,,,,,
