Player X,Player Y,player,team,Recipient X,Recipient Y,Recipient,period
86.4444444444444,28.4333333333333,Lauren Hemp,"England Women's",72.55,42.75,Francesca Kirby,1
86.4444444444444,28.4333333333333,Lauren Hemp,"England Women's",54.6,48.9125,Georgia Stanway,1
86.4444444444444,28.4333333333333,Lauren Hemp,"England Women's",49.13125,34.4875,Keira Walsh,1
86.4444444444444,28.4333333333333,Lauren Hemp,"England Women's",42.4285714285714,24.6095238095238,Leah Williamson,1
86.4444444444444,28.4333333333333,Lauren Hemp,"England Women's",58.0333333333333,73.2533333333333,Lucy Bronze,1
86.4444444444444,28.4333333333333,Lauren Hemp,"England Women's",38.025,58.325,Millie Bright,1
86.4444444444444,28.4333333333333,Lauren Hemp,"England Women's",54.0375,11.05,Rachel Daly,1
36.6,49.3333333333333,Lauren Hemp,"England Women's",56.1615384615385,7.25384615384615,Alex Greenwood,3
36.6,49.3333333333333,Lauren Hemp,"England Women's",68.5333333333333,15.25,Ella Toone,3
36.6,49.3333333333333,Lauren Hemp,"England Women's",61.675,65.15,Jill Scott,3
36.6,49.3333333333333,Lauren Hemp,"England Women's",45.175,45.625,Keira Walsh,3
42.4285714285714,24.6095238095238,Leah Williamson,"England Women's",72.55,42.75,Francesca Kirby,1
42.4285714285714,24.6095238095238,Leah Williamson,"England Women's",49.13125,34.4875,Keira Walsh,1
42.4285714285714,24.6095238095238,Leah Williamson,"England Women's",16.8833333333333,42.7333333333333,Mary Alexandra Earps,1
42.4285714285714,24.6095238095238,Leah Williamson,"England Women's",38.025,58.325,Millie Bright,1
42.4285714285714,24.6095238095238,Leah Williamson,"England Women's",54.0375,11.05,Rachel Daly,1
37.3130434782609,23.5173913043478,Leah Williamson,"England Women's",84.0333333333333,16.4666666666667,Alex Greenwood,2
37.3130434782609,23.5173913043478,Leah Williamson,"England Women's",54.4263157894737,32.9368421052632,Keira Walsh,2
37.3130434782609,23.5173913043478,Leah Williamson,"England Women's",11.4636363636364,42.4545454545455,Mary Alexandra Earps,2
37.3130434782609,23.5173913043478,Leah Williamson,"England Women's",32,48.0642857142857,Millie Bright,2
38.4666666666667,27.4666666666667,Leah Williamson,"England Women's",56.1615384615385,7.25384615384615,Alex Greenwood,3
38.4666666666667,27.4666666666667,Leah Williamson,"England Women's",68.5333333333333,15.25,Ella Toone,3
38.4666666666667,27.4666666666667,Leah Williamson,"England Women's",17.9666666666667,41.9666666666667,Mary Alexandra Earps,3
