Server	Sets	Games	Points	Commentary
Andy Roddick	1‑0	4‑4	40‑0	1st serve down the T,  fault (wide). 2nd serve wide; backhand slice return crosscourt; forehand inside-out; backhand down the line; forehand crosscourt (wide),  unforced error. (4-shot rally)
Andy Roddick	1‑0	4‑4	40‑15	1st serve down the T; backhand slice return down the middle,  forced error.
				
Roger Federer	0‑1	4‑5	0‑0	1st serve down the T,  fault (net). 2nd serve to body; backhand return down the middle; forehand crosscourt; forehand down the line; backhand down the line; forehand down the line; backhand crosscourt; backhand crosscourt; forehand down the middle; forehand down the middle,  forced error. (9-shot rally)
Roger Federer	0‑1	4‑5	15‑0	1st serve wide,  ace.
Roger Federer	0‑1	4‑5	30‑0	1st serve down the T; backhand return crosscourt; backhand volley down the line,  forced error.
Roger Federer	0‑1	4‑5	30‑15	1st serve down the T,  fault (long). 2nd serve down the T,  fault (net),  double fault.
Roger Federer	0‑1	4‑5	30‑30	1st serve wide; forehand return down the middle; forehand crosscourt,  winner.
Roger Federer	0‑1	4‑5	40‑30	1st serve wide,  fault (wide and long). 2nd serve down the T; forehand return inside-out; forehand inside-out; backhand down the middle; forehand crosscourt; forehand crosscourt; forehand down the line; backhand crosscourt; backhand slice down the line; forehand down the line; backhand slice down the line; forehand crosscourt; forehand crosscourt; forehand down the line; backhand crosscourt; backhand crosscourt; backhand crosscourt; backhand crosscourt; backhand down the middle; forehand crosscourt; forehand down the middle; forehand drop shot inside-out; backhand slice crosscourt,  winner. (23-shot rally)
				
Andy Roddick	1‑0	5‑5	0‑0	1st serve wide,  service winner.
Andy Roddick	1‑0	5‑5	15‑0	1st serve wide; backhand slice return down the middle; forehand inside-out,  winner.
Andy Roddick	1‑0	5‑5	30‑0	1st serve wide; forehand chip/slice return down the line; backhand down the line; forehand down the line; backhand volley down the line; forehand down the line; backhand volley crosscourt (wide),  unforced error. (6-shot rally)
Andy Roddick	1‑0	5‑5	30‑15	1st serve wide,  fault (long). 2nd serve wide; backhand slice return crosscourt; backhand slice crosscourt; backhand crosscourt; backhand down the middle; forehand inside-out; backhand crosscourt; backhand crosscourt; backhand down the middle; forehand crosscourt; forehand down the line; backhand crosscourt (wide),  unforced error. (11-shot rally)
Andy Roddick	1‑0	5‑5	40‑15	1st serve down the T; backhand slice return down the middle; forehand inside-out,  winner.
				
Roger Federer	0‑1	5‑6	0‑0	1st serve down the T,  fault (long). 2nd serve wide; forehand chip/slice return down the middle; backhand crosscourt,  winner.
Roger Federer	0‑1	5‑6	15‑0	1st serve down the T,  ace.
Roger Federer	0‑1	5‑6	30‑0	1st serve down the T,  ace.
Roger Federer	0‑1	5‑6	40‑0	1st serve wide; backhand return crosscourt; forehand drop shot inside-out (net),  unforced error.
Roger Federer	0‑1	5‑6	40‑15	1st serve down the T,  ace.
				
Andy Roddick	1‑0	6‑6	0‑0	1st serve down the T,  service winner.
Roger Federer	0‑1	6‑6	0‑1	1st serve down the T,  fault (long). 2nd serve to body; backhand return down the middle; forehand down the middle (long),  unforced error.
Roger Federer	0‑1	6‑6	0‑2	1st serve down the T,  service winner.
Andy Roddick	1‑0	6‑6	2‑1	1st serve down the T; forehand return inside-out,  forced error.
Andy Roddick	1‑0	6‑6	3‑1	1st serve down the T,  ace.
Roger Federer	0‑1	6‑6	1‑4	1st serve down the T,  fault (long). 2nd serve wide; backhand return crosscourt; backhand down the middle; forehand inside-out; backhand crosscourt; backhand crosscourt; backhand crosscourt; backhand down the line; forehand chip/slice down the line,  forced error. (8-shot rally)
Roger Federer	0‑1	6‑6	1‑5	1st serve wide; forehand chip/slice return down the middle,  forced error.
Andy Roddick	1‑0	6‑6	5‑2	1st serve down the T; forehand chip/slice return down the middle; forehand inside-out; backhand slice crosscourt; forehand inside-in; forehand chip/slice down the middle; forehand volley inside-out,  winner. (7-shot rally)
Andy Roddick	1‑0	6‑6	6‑2	1st serve down the T; backhand slice return down the middle; backhand slice down the middle; forehand crosscourt; forehand down the line; backhand half-volley crosscourt,  winner. (6-shot rally)
Roger Federer	0‑1	6‑6	3‑6	1st serve wide,  service winner.
Roger Federer	0‑1	6‑6	4‑6	1st serve wide,  ace.
Andy Roddick	1‑0	6‑6	6‑5	1st serve to body,  fault (long). 2nd serve to body; backhand slice return crosscourt; forehand inside-in; forehand down the line; backhand volley crosscourt (wide),  unforced error. (4-shot rally)
Andy Roddick	1‑0	6‑6	6‑6	1st serve down the T,  fault (long). 2nd serve down the T; backhand slice return down the middle; forehand inside-out; backhand slice down the middle; forehand inside-out; backhand crosscourt; backhand half-volley down the line,  forced error. (6-shot rally)
Roger Federer	0‑1	6‑6	7‑6	1st serve wide,  fault (net). 2nd serve to body; forehand return inside-out; backhand crosscourt; backhand down the middle; forehand down the middle; forehand inside-out; backhand slice crosscourt; backhand crosscourt (long),  unforced error. (7-shot rally)
				
Roger Federer	1‑1	0‑0	0‑0	1st serve down the T,  ace.
Roger Federer	1‑1	0‑0	15‑0	1st serve down the T,  ace.
Roger Federer	1‑1	0‑0	30‑0	1st serve down the T,  fault (net). 2nd serve down the T; backhand return crosscourt,  forced error.
Roger Federer	1‑1	0‑0	40‑0	1st serve wide,  fault (long). 2nd serve wide; backhand return crosscourt; backhand slice crosscourt; backhand down the line; forehand down the line; backhand crosscourt; backhand drop shot down the line; forehand down the middle,  winner. (8-shot rally)
Roger Federer	1‑1	0‑0	40‑15	1st serve down the T,  fault (net). 2nd serve to body; backhand return inside-out,  forced error.
				
Andy Roddick	1‑1	0‑1	0‑0	1st serve down the T,  service winner.
Andy Roddick	1‑1	0‑1	15‑0	1st serve wide,  fault (long). 2nd serve wide; backhand slice return down the line; forehand crosscourt,  winner.
Andy Roddick	1‑1	0‑1	30‑0	1st serve down the T,  fault (wide). 2nd serve to body; forehand return down the middle; forehand crosscourt (wide),  unforced error.
Andy Roddick	1‑1	0‑1	30‑15	1st serve down the T; forehand return inside-out,  forced error.
Andy Roddick	1‑1	0‑1	40‑15	1st serve to body,  fault (long). 2nd serve down the T; backhand return down the middle; forehand inside-out; backhand lob down the line; forehand crosscourt,  winner. (5-shot rally)
				
Roger Federer	1‑1	1‑1	0‑0	1st serve down the T,  ace.
Roger Federer	1‑1	1‑1	15‑0	1st serve wide; backhand return down the middle; forehand half-volley down the middle; backhand down the middle; backhand down the middle; backhand crosscourt; backhand crosscourt; backhand volley down the middle,  forced error. (7-shot rally)
Roger Federer	1‑1	1‑1	30‑0	1st serve down the T; backhand return down the middle; backhand crosscourt; backhand crosscourt; backhand slice down the line; forehand down the line,  forced error. (5-shot rally)
Roger Federer	1‑1	1‑1	40‑0	1st serve down the T,  ace.
				
Andy Roddick	1‑1	1‑2	0‑0	1st serve down the T,  ace.
Andy Roddick	1‑1	1‑2	15‑0	1st serve wide; backhand slice return crosscourt; backhand down the middle; forehand crosscourt; forehand down the line; backhand down the line (long),  unforced error. (5-shot rally)
Andy Roddick	1‑1	1‑2	30‑0	1st serve down the T,  ace.
Andy Roddick	1‑1	1‑2	40‑0	1st serve down the T,  fault (net). 2nd serve to body; backhand return down the middle; forehand inside-out; backhand down the middle (net),  unforced error.
				
Roger Federer	1‑1	2‑2	0‑0	1st serve down the T,  fault (net). 2nd serve to body; forehand return down the line,  forced error.
Roger Federer	1‑1	2‑2	15‑0	1st serve down the T,  fault (wide). 2nd serve to body; backhand return down the middle; forehand inside-out; backhand down the line; forehand volley crosscourt,  forced error. (4-shot rally)
Roger Federer	1‑1	2‑2	15‑15	1st serve down the T; backhand return down the middle; forehand inside-out,  winner.
Roger Federer	1‑1	2‑2	30‑15	1st serve wide; backhand return crosscourt; forehand inside-out; backhand crosscourt (wide),  unforced error.
Roger Federer	1‑1	2‑2	40‑15	1st serve to body; backhand return inside-in,  forced error.
				
Andy Roddick	1‑1	2‑3	0‑0	1st serve wide,  fault (wide and long). 2nd serve to body; backhand slice return inside-in,  forced error.
Andy Roddick	1‑1	2‑3	15‑0	1st serve down the T; forehand return inside-out; backhand crosscourt; backhand down the line (net),  unforced error.
Andy Roddick	1‑1	2‑3	30‑0	1st serve wide,  fault (net). 2nd serve to body; forehand return crosscourt; forehand crosscourt; forehand crosscourt; forehand crosscourt; forehand down the line; backhand crosscourt; backhand volley down the line,  winner. (8-shot rally)
Andy Roddick	1‑1	2‑3	30‑15	1st serve down the T; forehand return down the middle; forehand inside-out; backhand down the middle; forehand inside-out; backhand slice crosscourt; forehand inside-out; backhand down the line; forehand crosscourt; forehand crosscourt,  winner. (10-shot rally)
Andy Roddick	1‑1	2‑3	30‑30	1st serve down the T,  fault (net). 2nd serve down the T; backhand slice return crosscourt; backhand slice down the line (long),  unforced error.
Andy Roddick	1‑1	2‑3	30‑40	1st serve to body,  service winner.
Andy Roddick	1‑1	2‑3	40‑40	1st serve down the T,  fault (long). 2nd serve down the T; backhand slice return down the middle; backhand crosscourt; backhand down the line; forehand volley down the line; backhand down the line,  forced error. (5-shot rally)
Andy Roddick	1‑1	2‑3	AD‑40	1st serve to body; forehand return inside-out; backhand down the line; forehand chip/slice crosscourt; forehand crosscourt; forehand crosscourt; forehand down the line; backhand down the line,  winner. (8-shot rally)
Andy Roddick	1‑1	2‑3	40‑40	1st serve down the T,  fault (long). 2nd serve down the T; backhand slice return crosscourt; backhand crosscourt; backhand down the middle; forehand half-volley inside-out; backhand down the middle; backhand volley inside-out; forehand lob crosscourt,  forced error. (7-shot rally)
Andy Roddick	1‑1	2‑3	AD‑40	1st serve down the T; forehand return down the middle; forehand crosscourt,  winner.
				
Roger Federer	1‑1	3‑3	0‑0	1st serve wide; forehand return down the middle,  forced error.
Roger Federer	1‑1	3‑3	15‑0	1st serve wide,  ace.
Roger Federer	1‑1	3‑3	30‑0	1st serve wide; forehand return down the middle; backhand crosscourt,  winner.
Roger Federer	1‑1	3‑3	40‑0	1st serve down the T; forehand chip/slice return down the middle,  forced error.
				
Andy Roddick	1‑1	3‑4	0‑0	1st serve to body; backhand slice return inside-in; backhand drop shot down the line; forehand half-volley down the line; backhand volley down the line,  winner. (5-shot rally)
Andy Roddick	1‑1	3‑4	15‑0	1st serve wide,  ace.
Andy Roddick	1‑1	3‑4	30‑0	1st serve down the T,  fault (wide). 2nd serve to body; forehand chip/slice return crosscourt; forehand down the line (wide),  unforced error.
Andy Roddick	1‑1	3‑4	30‑15	1st serve wide,  ace.
Andy Roddick	1‑1	3‑4	40‑15	1st serve wide; forehand chip/slice return down the middle; forehand inside-out,  winner.
				
Roger Federer	1‑1	4‑4	0‑0	1st serve wide; forehand return down the middle; forehand half-volley down the middle; backhand inside-out; forehand down the line,  winner. (5-shot rally)
Roger Federer	1‑1	4‑4	15‑0	1st serve down the T,  service winner.
Roger Federer	1‑1	4‑4	30‑0	1st serve wide,  fault (wide and long). 2nd serve to body; backhand return down the middle; forehand inside-out; backhand crosscourt; backhand slice down the middle; forehand crosscourt; forehand crosscourt,  winner. (7-shot rally)
Roger Federer	1‑1	4‑4	40‑0	1st serve wide,  service winner.
				
Andy Roddick	1‑1	4‑5	0‑0	1st serve down the T,  service winner.
Andy Roddick	1‑1	4‑5	15‑0	1st serve wide,  ace.
Andy Roddick	1‑1	4‑5	30‑0	1st serve down the T,  fault (net). 2nd serve down the T; backhand slice return down the middle; forehand crosscourt; forehand down the line; backhand crosscourt,  forced error. (4-shot rally)
Andy Roddick	1‑1	4‑5	30‑15	1st serve wide,  fault (long). 2nd serve to body; backhand slice return crosscourt; forehand inside-out (net),  unforced error.
Andy Roddick	1‑1	4‑5	30‑30	1st serve wide; forehand return down the middle; forehand inside-out; backhand lob down the middle,  forced error.
Andy Roddick	1‑1	4‑5	40‑30	1st serve down the T,  fault (wide). 2nd serve to body; backhand slice return down the middle; forehand down the middle; forehand inside-out; backhand down the middle; forehand down the middle (net),  unforced error. (5-shot rally)
				
Roger Federer	1‑1	5‑5	0‑0	1st serve wide,  ace.
Roger Federer	1‑1	5‑5	15‑0	1st serve down the T,  fault (wide and long). 2nd serve down the T; forehand return down the middle,  forced error.
Roger Federer	1‑1	5‑5	30‑0	1st serve wide; forehand chip/slice return down the middle; forehand inside-out; backhand down the middle; backhand volley inside-out,  winner. (5-shot rally)
Roger Federer	1‑1	5‑5	40‑0	1st serve down the T,  ace.
				
Andy Roddick	1‑1	5‑6	0‑0	1st serve down the T,  fault (long). 2nd serve to body; backhand slice return down the middle,  forced error.
Andy Roddick	1‑1	5‑6	15‑0	1st serve wide,  fault (wide). 2nd serve wide,  fault (net),  double fault.
Andy Roddick	1‑1	5‑6	15‑15	1st serve down the T,  fault (wide). 2nd serve to body; backhand slice return inside-in; backhand crosscourt; backhand slice crosscourt; backhand down the line; forehand crosscourt,  winner. (6-shot rally)
Andy Roddick	1‑1	5‑6	15‑30	1st serve down the T,  ace.
Andy Roddick	1‑1	5‑6	30‑30	1st serve down the T; backhand slice return down the middle; forehand crosscourt,  winner.
