Server	Sets	Games	Points	Commentary
Andy Roddick	2‑2	11‑12	40‑0	1st serve down the T; forehand return inside-out; backhand slice crosscourt; backhand crosscourt (net),  unforced error.
				
Roger Federer	2‑2	12‑12	0‑0	1st serve wide,  fault (wide). 2nd serve down the T; backhand return down the middle; forehand inside-out,  winner.
Roger Federer	2‑2	12‑12	15‑0	1st serve down the T,  fault (wide). 2nd serve down the T; forehand return down the middle; forehand down the middle (long),  unforced error.
Roger Federer	2‑2	12‑12	15‑15	1st serve wide; forehand chip/slice return down the middle; forehand inside-out (wide and long),  unforced error.
Roger Federer	2‑2	12‑12	15‑30	1st serve down the T,  ace.
Roger Federer	2‑2	12‑12	30‑30	1st serve wide,  ace.
Roger Federer	2‑2	12‑12	40‑30	1st serve wide,  ace.
				
Andy Roddick	2‑2	12‑13	0‑0	1st serve wide; forehand chip/slice return down the middle; backhand down the middle; forehand down the middle; backhand down the middle; forehand down the middle; forehand down the middle; forehand crosscourt,  winner. (8-shot rally)
Andy Roddick	2‑2	12‑13	0‑15	1st serve down the T; forehand return down the middle; forehand crosscourt; forehand down the middle; forehand inside-out; backhand slice crosscourt,  forced error. (5-shot rally)
Andy Roddick	2‑2	12‑13	15‑15	1st serve to body,  fault (net). 2nd serve to body; backhand slice return inside-in; forehand inside-out; backhand down the middle; forehand inside-out; backhand slice,  forced error. (5-shot rally)
Andy Roddick	2‑2	12‑13	30‑15	1st serve wide; backhand slice return crosscourt,  forced error.
Andy Roddick	2‑2	12‑13	40‑15	1st serve down the T,  fault (net). 2nd serve to body; backhand slice return down the middle; forehand crosscourt; forehand crosscourt; forehand down the line; backhand slice crosscourt; backhand slice crosscourt,  forced error. (6-shot rally)
Andy Roddick	2‑2	12‑13	40‑30	1st serve wide; backhand slice return down the middle; forehand inside-out; backhand slice crosscourt; backhand down the middle; forehand crosscourt; forehand chip/slice down the middle; forehand inside-out,  winner. (8-shot rally)
Andy Roddick	2‑2	12‑13	40‑40	1st serve down the T,  service winner.
Andy Roddick	2‑2	12‑13	AD‑40	1st serve down the T,  fault (long). 2nd serve wide; backhand slice return crosscourt,  forced error.
				
Roger Federer	2‑2	13‑13	0‑0	1st serve down the T,  fault (long). 2nd serve to body; backhand return down the middle; forehand inside-out; backhand down the line,  forced error.
Roger Federer	2‑2	13‑13	15‑0	1st serve wide,  ace.
Roger Federer	2‑2	13‑13	30‑0	1st serve down the T,  fault (long). 2nd serve down the T; backhand return crosscourt; backhand crosscourt; backhand crosscourt (wide),  unforced error.
Roger Federer	2‑2	13‑13	40‑0	1st serve down the T; forehand return down the middle; backhand slice down the middle; backhand slice inside-out (wide),  unforced error.
				
Andy Roddick	2‑2	13‑14	0‑0	1st serve wide; forehand return down the middle; backhand down the middle; forehand down the middle; backhand inside-out (wide),  unforced error. (4-shot rally)
Andy Roddick	2‑2	13‑14	0‑15	1st serve wide,  fault (long). 2nd serve to body; backhand slice return down the line,  forced error.
Andy Roddick	2‑2	13‑14	15‑15	1st serve down the T,  fault (long). 2nd serve to body; backhand slice return down the middle; forehand down the middle (shank),  unforced error.
Andy Roddick	2‑2	13‑14	15‑30	1st serve down the T; forehand return down the middle; forehand inside-out; backhand slice crosscourt; backhand volley down the line; forehand down the line,  forced error. (5-shot rally)
Andy Roddick	2‑2	13‑14	30‑30	1st serve down the T; backhand slice return down the middle,  forced error.
Andy Roddick	2‑2	13‑14	40‑30	1st serve down the T,  service winner.
				
Roger Federer	2‑2	14‑14	0‑0	1st serve down the T; backhand return down the middle; forehand down the middle; forehand inside-out; backhand slice down the middle; forehand inside-out (net),  unforced error. (5-shot rally)
Roger Federer	2‑2	14‑14	15‑0	1st serve to body,  fault (net). 2nd serve wide; backhand return down the middle; forehand down the middle; forehand down the middle; forehand crosscourt; forehand down the middle; forehand down the middle; backhand slice down the middle; forehand inside-out,  winner. (9-shot rally)
Roger Federer	2‑2	14‑14	30‑0	1st serve down the T,  ace.
Roger Federer	2‑2	14‑14	40‑0	1st serve down the T; forehand return down the middle,  forced error.
				
Andy Roddick	2‑2	14‑15	0‑0	1st serve wide; forehand return down the line; backhand crosscourt (net),  unforced error.
Andy Roddick	2‑2	14‑15	0‑15	1st serve down the T; forehand return down the middle; forehand (shank),  unforced error.
Andy Roddick	2‑2	14‑15	0‑30	1st serve down the T,  service winner.
Andy Roddick	2‑2	14‑15	15‑30	1st serve to body; backhand slice return crosscourt,  forced error.
Andy Roddick	2‑2	14‑15	30‑30	1st serve to body,  service winner.
Andy Roddick	2‑2	14‑15	40‑30	1st serve wide,  fault (net). 2nd serve to body; backhand slice return down the middle; forehand down the middle; forehand inside-out; backhand crosscourt (wide),  unforced error. (4-shot rally)
Andy Roddick	2‑2	14‑15	40‑40	1st serve to body,  service winner.
Andy Roddick	2‑2	14‑15	AD‑40	1st serve down the T; forehand return inside-out; backhand down the middle (long),  unforced error.
Andy Roddick	2‑2	14‑15	40‑40	1st serve down the T,  fault (long). 2nd serve down the T; backhand slice return inside-out; forehand down the middle (long),  unforced error.
Andy Roddick	2‑2	14‑15	40‑AD	1st serve down the T,  fault (net). 2nd serve wide; backhand slice return down the middle; forehand inside-out; backhand down the middle; forehand (shank),  unforced error. (4-shot rally)
